year,month,sst
2012,1,4.423
2012,2,3.782
2012,3,3.424
2012,4,5.219
2012,5,6.449
2012,6,8.88
2012,7,10.503
2012,8,11.73
2012,9,10.738
2012,10,8.541
2012,11,7.208
2012,12,5.757
2013,1,5.029
2013,2,4.965
2013,3,4.432
2013,4,4.438
2013,5,6.381
2013,6,10.938
2013,7,13.986
2013,8,13.285
2013,9,11.729
2013,10,9.616
2013,11,8.182
2013,12,6.287
2014,1,5.786
2014,2,4.761
2014,3,4.671
2014,4,5.095
2014,5,8.593
2014,6,9.857
2014,7,13.477
2014,8,13.689
2014,9,12.783
2014,10,10.193
2014,11,8.813
2014,12,7.933
2015,1,7.116
2015,2,6.222
2015,3,5.758
2015,4,6.019
2015,5,8.272
2015,6,11.686
2015,7,13.594
2015,8,15.279
2015,9,12.275
2015,10,10.121
2015,11,8.138
2015,12,7.088
2016,1,6.408
2016,2,5.977
2016,3,6.275
2016,4,6.614
2016,5,9.011
2016,6,12.283
2016,7,14.936
2016,8,14.005
2016,9,13.509
2016,10,10.531
2016,11,8.45
2016,12,7.472
2017,1,6.231
2017,2,5.377
2017,3,4.594
2017,4,5.514
2017,5,7.139
2017,6,11.05
2017,7,12.745
2017,8,13.858
2017,9,11.692
2017,10,9.977
2017,11,7.927
2017,12,6.615
2018,1,5.762
2018,2,4.812
2018,3,4.695
2018,4,5.267
2018,5,6.565
2018,6,10.518
2018,7,13.303
2018,8,13.301
2018,9,13.305
2018,10,10.306
2018,11,8.556
2018,12,7.128
2019,1,6.475
2019,2,6.127
2019,3,5.889
2019,4,6.337
2019,5,7.617
2019,6,11.529
2019,7,15.126
2019,8,15.63
2019,9,13.294
2019,10,10.073
2019,11,8.28
2019,12,7.126
2020,1,5.601
2020,2,5.161
2020,3,4.543
2020,4,5.485
2020,5,7.568
2020,6,10.59
2020,7,13.811
2020,8,14.041
2020,9,12.376
2020,10,10.128
2020,11,7.981
2020,12,6.649
2021,1,6.1
2021,2,5.369
2021,3,4.967
2021,4,5.439
2021,5,7.388
2021,6,9.969
2021,7,12.22
2021,8,13.758
2021,9,11.901
2021,10,9.646
2021,11,7.358
2021,12,5.835
2022,1,4.943
2022,2,4.267
2022,3,4.261
2022,4,5.158
2022,5,7.838
2022,6,12.714
2022,7,13.5
2022,8,13.521
2022,9,12.109
2022,10,9.866
2022,11,7.847
2022,12,6.262
2023,1,5.309
2023,2,4.667
2023,3,4.197
2023,4,4.883
2023,5,6.084
2023,6,8.964
2023,7,11.81
2023,8,13.127
2023,9,12.205
2023,10,9.507
2023,11,7.996
2023,12,6.711
2024,1,5.624
2024,2,5.13
2024,3,4.588
2024,4,5.379
2024,5,7.35
