year,month,sst
2012,1,6.662
2012,2,6.407
2012,3,6.638
2012,4,7.712
2012,5,7.914
2012,6,9.615
2012,7,11.035
2012,8,12.906
2012,9,11.234
2012,10,9.49
2012,11,8.961
2012,12,8.699
2013,1,7.981
2013,2,7.648
2013,3,7.476
2013,4,8.062
2013,5,9.665
2013,6,11.963
2013,7,12.089
2013,8,13.288
2013,9,13.542
2013,10,11.372
2013,11,9.708
2013,12,7.511
2014,1,7.286
2014,2,6.502
2014,3,6.683
2014,4,7.287
2014,5,9.461
2014,6,10.456
2014,7,12.907
2014,8,12.443
2014,9,11.95
2014,10,12.139
2014,11,10.661
2014,12,9.896
2015,1,8.991
2015,2,8.667
2015,3,9.005
2015,4,9.507
2015,5,10.411
2015,6,11.931
2015,7,12.568
2015,8,13.797
2015,9,12.638
2015,10,11.434
2015,11,10.943
2015,12,9.226
2016,1,8.512
2016,2,8.53
2016,3,8.651
2016,4,9.655
2016,5,10.963
2016,6,11.886
2016,7,13.57
2016,8,11.263
2016,9,12.965
2016,10,10.709
2016,11,10.575
2016,12,9.565
2017,1,8.198
2017,2,6.912
2017,3,6.227
2017,4,7.784
2017,5,9.646
2017,6,11.596
2017,7,13.209
2017,8,13.432
2017,9,13.336
2017,10,10.724
2017,11,8.709
2017,12,8.49
2018,1,7.972
2018,2,7.254
2018,3,7.326
2018,4,8.017
2018,5,10.029
2018,6,11.739
2018,7,12.505
2018,8,13.402
2018,9,13.3
2018,10,10.92
2018,11,9.761
2018,12,9.009
2019,1,7.635
2019,2,7.059
2019,3,7.445
2019,4,8.477
2019,5,9.779
2019,6,12.005
2019,7,14.784
2019,8,14.241
2019,9,13.451
2019,10,10.904
2019,11,9.652
2019,12,8.533
2020,1,7.723
2020,2,6.854
2020,3,7.232
2020,4,8.135
2020,5,9.858
2020,6,11.62
2020,7,12.742
2020,8,13.751
2020,9,13.629
2020,10,11.573
2020,11,9.27
2020,12,8.533
2021,1,7.961
2021,2,6.843
2021,3,6.822
2021,4,7.409
2021,5,9.078
2021,6,10.795
2021,7,13.088
2021,8,13.238
2021,9,12.506
2021,10,10.682
2021,11,8.829
2021,12,7.412
2022,1,6.653
2022,2,6.669
2022,3,7.031
2022,4,7.288
2022,5,8.643
2022,6,10.757
2022,7,12.901
2022,8,12.988
2022,9,12.569
2022,10,10.239
2022,11,8.1
2022,12,6.548
2023,1,6.542
2023,2,6.539
