year,month,sst
2012,1,9.312
2012,2,9.502
2012,3,8.979
2012,4,10.591
2012,5,9.508
2012,6,10.292
2012,7,10.45
2012,8,9.872
2012,9,9.708
2012,10,11.192
2012,11,12.487
2012,12,11.606
2013,1,9.601
2013,2,8.998
2013,3,9.207
2013,4,9.088
2013,5,9.801
2013,6,11.232
2013,7,9.336
2013,8,10.675
2013,9,12.988
2013,10,9.724
2013,11,9.769
2013,12,8.627
2014,1,9.435
2014,2,9.968
2014,3,10.536
2014,4,10.25
2014,5,11.8
2014,6,8.91
2014,7,9.482
2014,8,9.62
2014,9,10.995
2014,10,13.782
2014,11,13.852
2014,12,14.033
2015,1,12.46
2015,2,12.179
2015,3,11.459
2015,4,11.065
2015,5,8.944
2015,6,9.139
2015,7,11.892
2015,8,12.155
2015,9,11.506
2015,10,13.246
2015,11,13.201
2015,12,12.155
2016,1,11.267
2016,2,11.494
2016,3,12.215
2016,4,12.388
2016,5,10.336
2016,6,11.075
2016,7,9.316
2016,8,9.906
2016,9,10.913
2016,10,12.837
2016,11,15.018
2016,12,11.867
2017,1,10.094
2017,2,10.94
2017,3,11.054
2017,4,11.055
2017,5,11.03
2017,6,10.936
2017,7,10.044
2017,8,11.529
2017,9,11.193
2017,10,11.24
2017,11,11.285
2017,12,11.337
2018,1,11.633
2018,2,9.971
2018,3,9.924
2018,4,10.638
2018,5,10.591
2018,6,10.743
2018,7,10.725
2018,8,11.398
2018,9,11.164
2018,10,11.459
2018,11,10.927
2018,12,11.625
2019,1,11.299
2019,2,10.662
2019,3,10.718
2019,4,11.222
2019,5,9.821
2019,6,9.908
2019,7,11.483
2019,8,11.575
2019,9,12.952
2019,10,9.98
2019,11,10.577
2019,12,11.244
2020,1,10.737
2020,2,9.773
2020,3,9.39
2020,4,10.292
2020,5,12.147
2020,6,9.975
2020,7,8.601
2020,8,10.715
2020,9,12.348
2020,10,10.869
2020,11,9.523
2020,12,10.318
2021,1,10.355
2021,2,10.217
2021,3,9.484
2021,4,8.853
2021,5,8.651
2021,6,10.846
2021,7,9.605
2021,8,9.875
2021,9,10.836
2021,10,11.39
2021,11,12.433
2021,12,10.87
2022,1,10.28
2022,2,9.732
2022,3,9.544
2022,4,9.87
2022,5,10.512
2022,6,11.046
2022,7,10.549
2022,8,12.259
2022,9,11.699
2022,10,11.834
2022,11,10.438
2022,12,9.724
2023,1,10.537
2023,2,9.592
2023,3,9.121
2023,4,9.759
2023,5,10.573
2023,6,8.885
2023,7,10.044
2023,8,10.556
2023,9,11.19
2023,10,11.981
2023,11,12.233
2023,12,11.858
2024,1,11.485
2024,2,11.717
2024,3,11.524
2024,4,10.407
2024,5,9.489
2024,6,8.997
2024,7,9.778
2024,8,12.375
2024,9,10.649
2024,10,10.395
2024,11,11.276
2024,12,11.188
2025,1,10.34
2025,2,10.183
2025,3,10.114
2025,4,10.267
2025,5,10.446
2025,6,10.703
2025,7,10.555
2025,8,10.895
2025,9,10.465
2025,10,10.967
2025,11,11.356
2025,12,10.573
2026,1,10.34
2026,2,10.183
2026,3,10.114
2026,4,10.267
2026,5,10.446
2026,6,10.703
2026,7,10.555
2026,8,10.895
2026,9,10.465
2026,10,10.967
2026,11,11.356
2026,12,10.573
2027,1,10.34
2027,2,10.183
2027,3,10.114
2027,4,10.267
2027,5,10.446
2027,6,10.703
