year,month,sst
2012,1,5.93
2012,2,5.389
2012,3,5.179
2012,4,6.386
2012,5,6.781
2012,6,8.909
2012,7,11.129
2012,8,12.801
2012,9,11.793
2012,10,9.782
2012,11,8.069
2012,12,6.841
2013,1,6.247
2013,2,5.784
2013,3,5.51
2013,4,5.863
2013,5,7.082
2013,6,11.616
2013,7,14.521
2013,8,14.836
2013,9,13.435
2013,10,11.317
2013,11,9.088
2013,12,7.136
2014,1,6.488
2014,2,5.911
2014,3,5.714
2014,4,5.596
2014,5,8.409
2014,6,10.973
2014,7,13.153
2014,8,14.604
2014,9,13.942
2014,10,11.035
2014,11,10.366
2014,12,8.52
2015,1,7.652
2015,2,6.979
2015,3,6.937
2015,4,7.549
2015,5,9.592
2015,6,11.95
2015,7,13.674
2015,8,14.857
2015,9,12.654
2015,10,11.073
2015,11,9.548
2015,12,8.149
2016,1,7.361
2016,2,7.239
2016,3,7.318
2016,4,7.841
2016,5,9.751
2016,6,12.116
2016,7,14.57
2016,8,14.721
2016,9,13.582
2016,10,11.217
2016,11,9.599
2016,12,8.541
2017,1,7.146
2017,2,6.194
2017,3,5.483
2017,4,6.434
2017,5,7.847
2017,6,10.705
2017,7,13.403
2017,8,14.963
2017,9,13.193
2017,10,10.891
2017,11,8.201
2017,12,7.168
2018,1,6.526
2018,2,6.064
2018,3,6.049
2018,4,6.307
2018,5,7.755
2018,6,10.981
2018,7,13.271
2018,8,14.205
2018,9,14.146
2018,10,11.328
2018,11,9.946
2018,12,8.833
2019,1,7.538
2019,2,6.775
2019,3,6.655
2019,4,6.99
2019,5,9.018
2019,6,12.357
2019,7,15.038
2019,8,15.32
2019,9,13.321
2019,10,10.865
2019,11,9.096
2019,12,7.848
2020,1,6.64
2020,2,5.777
2020,3,5.503
2020,4,5.957
2020,5,7.895
2020,6,10.719
2020,7,13.55
2020,8,13.655
2020,9,12.892
2020,10,10.617
2020,11,8.714
2020,12,7.258
2021,1,6.9
2021,2,5.737
2021,3,5.561
2021,4,6.104
2021,5,7.511
2021,6,10.465
2021,7,12.899
2021,8,14.313
2021,9,12.909
2021,10,10.228
2021,11,8.676
2021,12,7.134
2022,1,5.929
2022,2,5.585
2022,3,5.609
2022,4,6.278
2022,5,8.249
2022,6,12.232
2022,7,13.602
2022,8,14.475
2022,9,13.82
2022,10,11.744
2022,11,8.924
2022,12,6.986
2023,1,6.296
2023,2,5.876
2023,3,5.394
2023,4,5.703
2023,5,8.047
2023,6,10.229
2023,7,13.48
2023,8,14.915
2023,9,13.275
2023,10,11.063
2023,11,9.31
2023,12,8.398
2024,1,7.24
2024,2,6.404
2024,3,6.317
2024,4,6.854
2024,5,8.446
2024,6,10.646
2024,7,13.408
2024,8,14.34
2024,9,12.675
2024,10,10.557
2024,11,8.795
2024,12,7.698
2025,1,6.238
2025,2,5.621
2025,3,5.438
2025,4,5.916
2025,5,7.717
2025,6,10.454
2025,7,12.676
2025,8,13.617
2025,9,12.346
2025,10,10.233
2025,11,8.286
2025,12,7.178
2026,1,6.238
2026,2,5.621
2026,3,5.438
2026,4,5.916
2026,5,7.717
2026,6,10.454
2026,7,12.676
2026,8,13.617
2026,9,12.346
2026,10,10.233
2026,11,8.286
2026,12,7.178
2027,1,6.238
2027,2,5.621
2027,3,5.438
2027,4,5.916
2027,5,7.717
2027,6,10.454
2027,7,12.676
2027,8,13.617
2027,9,12.346
2027,10,10.233
2027,11,8.286
2027,12,7.178
2028,1,6.363
2028,2,5.766
2028,3,5.576
2028,4,5.756
2028,5,8.063
2028,6,10.714
2028,7,13.674
2028,8,14.857
2028,9,12.654
2028,10,11.073
2028,11,9.548
2028,12,8.149
2029,1,7.652
2029,2,6.979
2029,3,6.937
2029,4,7.549
2029,5,9.592
2029,6,11.95
2029,7,13.623
2029,8,14.169
2029,9,12.964
2029,10,10.725
2029,11,8.942
2029,12,7.859
2030,1,6.238
2030,2,5.621
2030,3,5.438
2030,4,5.916
2030,5,7.717
2030,6,10.454
2030,7,12.676
2030,8,13.617
2030,9,12.346
2030,10,10.233
2030,11,8.286
2030,12,7.178
2031,1,6.238
2031,2,5.621
2031,3,5.438
2031,4,5.916
2031,5,7.717
2031,6,10.454
2031,7,12.676
2031,8,13.617
2031,9,12.346
2031,10,10.233
2031,11,8.286
2031,12,7.178
2032,1,6.238
2032,2,5.621
2032,3,5.438
2032,4,5.916
2032,5,7.717
2032,6,10.454
2032,7,12.676
2032,8,13.617
2032,9,12.346
2032,10,10.233
2032,11,8.286
2032,12,7.178
2033,1,6.238
2033,2,5.621
2033,3,5.438
2033,4,5.916
2033,5,7.717
2033,6,10.454
2033,7,12.676
2033,8,13.617
2033,9,12.346
2033,10,10.233
2033,11,8.286
2033,12,7.178
2034,1,6.238
2034,2,5.621
2034,3,5.438
2034,4,5.916
2034,5,7.717
2034,6,10.454
2034,7,12.676
2034,8,13.617
2034,9,12.346
2034,10,10.233
2034,11,8.286
2034,12,7.178
2035,1,6.363
2035,2,5.766
2035,3,5.576
2035,4,5.756
2035,5,8.063
2035,6,10.714
2035,7,13.674
2035,8,14.857
2035,9,12.654
2035,10,11.073
2035,11,9.548
2035,12,8.149
2036,1,7.652
2036,2,6.979
2036,3,6.937
2036,4,7.549
2036,5,9.592
2036,6,11.95
2036,7,13.623
2036,8,14.169
2036,9,12.964
2036,10,10.725
2036,11,8.942
2036,12,7.859
2037,1,6.238
2037,2,5.621
2037,3,5.438
2037,4,5.916
