year,month,sst
2012,1,3.017
2012,2,1.377
2012,3,1.022
2012,4,1.622
2012,5,3.534
2012,6,6.747
2012,7,9.54
2012,8,10.369
2012,9,9.466
2012,10,8.418
2012,11,6.329
2012,12,4.015
2013,1,3.608
2013,2,3.127
2013,3,2.677
2013,4,3.329
2013,5,4.648
2013,6,7.556
2013,7,9.648
2013,8,11.134
2013,9,10.787
2013,10,8.781
2013,11,7.035
2013,12,5.49
2014,1,4.403
2014,2,3.501
2014,3,3.33
2014,4,4.007
2014,5,7.073
2014,6,9.02
2014,7,12.246
2014,8,14.424
2014,9,13.114
2014,10,10.441
2014,11,7.967
2014,12,6.839
2015,1,5.808
2015,2,5.239
2015,3,5.098
2015,4,5.073
2015,5,6.723
2015,6,9.614
2015,7,11.601
2015,8,13.041
2015,9,11.31
2015,10,9.107
2015,11,7.764
2015,12,6.267
2016,1,4.817
2016,2,4.881
2016,3,4.864
2016,4,5.508
2016,5,7.226
2016,6,10.313
2016,7,12.867
2016,8,13.849
2016,9,13.033
2016,10,10.766
2016,11,8.495
2016,12,6.424
2017,1,5.137
2017,2,4.037
2017,3,3.355
2017,4,3.652
2017,5,5.686
2017,6,8.452
2017,7,11.06
2017,8,12.196
2017,9,10.637
2017,10,9.551
2017,11,7.781
2017,12,5.597
2018,1,4.784
2018,2,3.988
2018,3,4.042
2018,4,4.361
2018,5,5.668
2018,6,8.534
2018,7,10.54
2018,8,11.057
2018,9,11.839
2018,10,10.365
2018,11,8.281
2018,12,6.081
2019,1,4.659
2019,2,4.71
2019,3,4.446
2019,4,5.332
2019,5,6.885
2019,6,9.54
2019,7,12.649
2019,8,13.757
2019,9,11.605
2019,10,9.904
2019,11,8.494
2019,12,6.251
2020,1,4.467
2020,2,3.458
2020,3,3.127
2020,4,3.987
2020,5,5.819
2020,6,8.556
2020,7,11.437
2020,8,12.09
2020,9,11.137
2020,10,10.001
2020,11,8.228
2020,12,6.212
2021,1,4.951
2021,2,4.972
2021,3,4.442
2021,4,4.761
2021,5,5.995
2021,6,7.857
2021,7,10.72
2021,8,11.594
2021,9,10.747
2021,10,8.71
2021,11,6.38
2021,12,4.112
2022,1,3.28
2022,2,2.815
2022,3,3.201
2022,4,3.524
2022,5,5.245
2022,6,8.728
2022,7,10.858
2022,8,11.713
2022,9,11.085
2022,10,9.475
2022,11,7.182
2022,12,5.629
2023,1,4.835
2023,2,4.389
2023,3,3.629
2023,4,3.76
2023,5,5.071
2023,6,7.312
2023,7,9.584
2023,8,11.871
2023,9,10.664
2023,10,9.081
2023,11,7.746
2023,12,5.789
2024,1,4.635
2024,2,4.007
2024,3,3.397
2024,4,3.611
2024,5,4.953
2024,6,7.794
2024,7,10.77
2024,8,10.937
2024,9,10.234
2024,10,9.294
2024,11,7.37
2024,12,5.928
2025,1,3.86
2025,2,3.193
2025,3,2.938
2025,4,3.029
2025,5,4.77
2025,6,7.341
2025,7,10.347
2025,8,11.583
2025,9,10.866
2025,10,9.186
2025,11,7.09
2025,12,5.194
2026,1,3.86
2026,2,3.193
2026,3,2.938
2026,4,3.029
2026,5,4.77
2026,6,7.341
2026,7,10.347
2026,8,11.583
2026,9,10.866
2026,10,9.186
2026,11,7.09
2026,12,5.194
2027,1,3.86
2027,2,3.193
2027,3,2.938
2027,4,3.029
2027,5,4.77
2027,6,7.341
2027,7,10.347
2027,8,11.583
2027,9,10.866
2027,10,9.186
2027,11,7.09
2027,12,5.194
2028,1,4.131
2028,2,3.347
2028,3,3.134
2028,4,3.518
2028,5,5.922
2028,6,8.18
2028,7,11.601
2028,8,13.041
2028,9,11.31
2028,10,9.107
2028,11,7.764
2028,12,6.267
2029,1,5.808
2029,2,5.239
2029,3,5.098
2029,4,5.073
2029,5,6.723
2029,6,9.614
2029,7,11.607
2029,8,12.716
2029,9,11.95
2029,10,9.976
2029,11,7.793
2029,12,5.809
2030,1,3.86
2030,2,3.193
2030,3,2.938
2030,4,3.029
2030,5,4.77
2030,6,7.341
2030,7,10.347
