year,month,sst
2012,1,1.121
2012,2,1.127
2012,3,0.616
2012,4,2.69
2012,5,4.938
2012,6,8.003
2012,7,9.915
2012,8,11.335
2012,9,10.473
2012,10,8.3
2012,11,4.764
2012,12,1.93
2013,1,2.328
2013,2,1.169
2013,3,1.182
2013,4,1.965
2013,5,4.15
2013,6,8.248
2013,7,11.037
2013,8,11.727
2013,9,11.019
2013,10,8.742
2013,11,6.104
2013,12,2.986
2014,1,2.369
2014,2,1.206
2014,3,1.57
2014,4,2.947
2014,5,6.197
2014,6,8.797
2014,7,11.523
2014,8,13.119
2014,9,12.252
2014,10,9.473
2014,11,6.89
2014,12,4.985
2015,1,3.804
2015,2,2.22
2015,3,2.663
2015,4,3.816
2015,5,6.406
2015,6,9.75
2015,7,11.933
2015,8,13.386
2015,9,11.519
2015,10,9.437
2015,11,6.405
2015,12,3.978
2016,1,3.557
2016,2,3.275
2016,3,3.286
2016,4,5.139
2016,5,7.429
2016,6,11.034
2016,7,12.921
2016,8,13.21
2016,9,12.767
2016,10,10.014
2016,11,6.852
2016,12,3.506
2017,1,1.691
2017,2,1.253
2017,3,0.316
2017,4,1.904
2017,5,5.439
2017,6,8.556
2017,7,10.885
2017,8,12.4
2017,9,11.507
2017,10,9.582
2017,11,6.184
2017,12,3.933
2018,1,2.443
2018,2,1.154
2018,3,1.469
2018,4,2.785
2018,5,5.313
2018,6,9.329
2018,7,11.656
2018,8,12.346
2018,9,12.221
2018,10,9.746
2018,11,6.926
2018,12,4.857
2019,1,2.227
2019,2,1.986
2019,3,2.376
2019,4,4.575
2019,5,6.915
2019,6,10.104
2019,7,13.43
2019,8,13.667
2019,9,12.167
2019,10,9.541
2019,11,7.295
2019,12,4.679
2020,1,1.004
2020,2,0.495
2020,3,1.551
2020,4,2.367
2020,5,5.285
2020,6,9.049
2020,7,12.362
2020,8,12.946
2020,9,12.383
2020,10,10.005
2020,11,5.994
2020,12,3.731
2021,1,2.856
2021,2,1.885
2021,3,1.064
2021,4,1.367
2021,5,4.942
2021,6,8.118
2021,7,11.09
2021,8,12.575
2021,9,11.355
2021,10,8.601
2021,11,5.438
2021,12,1.956
2022,1,1.977
2022,2,1.792
2022,3,2.136
2022,4,4.063
2022,5,6.385
2022,6,10.179
2022,7,12.218
2022,8,12.521
2022,9,11.572
2022,10,9.149
2022,11,5.7
2022,12,3.052
2023,1,2.081
2023,2,1.808
2023,3,1.366
2023,4,2.698
2023,5,4.89
2023,6,7.834
2023,7,10.395
2023,8,12.147
2023,9,11.437
2023,10,8.746
2023,11,6.213
2023,12,3.842
2024,1,2.307
2024,2,1.986
2024,3,1.787
2024,4,3.517
2024,5,5.69
2024,6,8.775
2024,7,11.262
2024,8,12.263
2024,9,11.371
2024,10,8.97
2024,11,5.742
2024,12,3.928
2025,1,1.449
2025,2,1.301
2025,3,1.368
2025,4,2.024
2025,5,4.444
2025,6,8.296
2025,7,11.022
2025,8,11.98
2025,9,11.226
2025,10,8.964
2025,11,5.672
2025,12,2.512
2026,1,1.449
2026,2,1.301
2026,3,1.368
2026,4,2.024
2026,5,4.444
2026,6,8.296
2026,7,11.022
2026,8,11.98
2026,9,11.226
2026,10,8.964
2026,11,5.672
2026,12,2.512
2027,1,1.449
2027,2,1.301
2027,3,1.368
2027,4,2.024
2027,5,4.444
2027,6,8.296
2027,7,11.022
2027,8,11.98
2027,9,11.226
2027,10,8.964
2027,11,5.672
2027,12,2.512
2028,1,1.909
2028,2,1.254
2028,3,1.469
2028,4,2.486
2028,5,5.321
2028,6,8.546
2028,7,11.933
2028,8,13.386
2028,9,11.519
2028,10,9.437
2028,11,6.405
2028,12,3.978
2029,1,3.804
2029,2,2.22
2029,3,2.663
2029,4,3.816
2029,5,6.406
2029,6,9.75
2029,7,11.971
2029,8,12.595
2029,9,11.996
2029,10,9.489
2029,11,6.262
2029,12,3.009
2030,1,1.449
2030,2,1.301
2030,3,1.368
2030,4,2.024
2030,5,4.444
2030,6,8.296
2030,7,11.022
2030,8,11.98
2030,9,11.226
2030,10,8.964
2030,11,5.672
2030,12,2.512
2031,1,1.909
2031,2,1.254
2031,3,1.469
2031,4,2.486
2031,5,5.321
2031,6,8.546
2031,7,11.933
2031,8,13.386
2031,9,11.519
2031,10,9.437
2031,11,6.405
2031,12,3.978
2032,1,3.804
2032,2,2.22
2032,3,2.663
2032,4,3.816
2032,5,6.406
2032,6,9.75
2032,7,11.971
2032,8,12.595
2032,9,11.996
2032,10,9.489
2032,11,6.262
2032,12,3.009
2033,1,1.449
2033,2,1.301
2033,3,1.368
2033,4,2.024
2033,5,4.444
2033,6,8.296
2033,7,11.022
2033,8,11.98
2033,9,11.226
2033,10,8.964
2033,11,5.672
2033,12,2.512
2034,1,1.909
2034,2,1.254
2034,3,1.469
2034,4,2.486
2034,5,5.321
2034,6,8.546
2034,7,11.933
2034,8,13.386
2034,9,11.519
2034,10,9.437
2034,11,6.405
2034,12,3.978
2035,1,3.804
2035,2,2.22
2035,3,2.663
2035,4,3.816
2035,5,6.406
2035,6,9.75
2035,7,11.971
2035,8,12.595
2035,9,11.996
2035,10,9.489
2035,11,6.262
2035,12,3.009
2036,1,1.449
2036,2,1.301
2036,3,1.368
2036,4,2.024
2036,5,4.444
2036,6,8.296
2036,7,11.022
2036,8,11.98
2036,9,11.226
2036,10,8.964
2036,11,5.672
2036,12,2.512
2037,1,1.909
2037,2,1.254
2037,3,1.469
2037,4,2.486
2037,5,5.321
2037,6,8.546
2037,7,11.933
2037,8,13.386
2037,9,11.519
2037,10,9.437
2037,11,6.405
2037,12,3.978
2038,1,3.804
2038,2,2.22
2038,3,2.663
2038,4,3.816
2038,5,6.406
2038,6,9.75
2038,7,11.971
2038,8,12.595
2038,9,11.996
2038,10,9.489
2038,11,6.262
2038,12,3.009
2039,1,1.449
2039,2,1.301
2039,3,1.368
2039,4,2.024
2039,5,4.444
2039,6,8.296
2039,7,11.022
2039,8,11.98
2039,9,11.226
2039,10,8.964
2039,11,5.672
2039,12,2.512
2040,1,1.909
2040,2,1.254
2040,3,1.469
2040,4,2.486
2040,5,5.321
2040,6,8.546
2040,7,11.933
2040,8,13.386
2040,9,11.519
2040,10,9.437
2040,11,6.405
2040,12,3.978
2041,1,3.804
2041,2,2.22
2041,3,2.663
2041,4,3.816
2041,5,6.406
2041,6,9.75
2041,7,11.971
2041,8,12.595
2041,9,11.996
2041,10,9.489
2041,11,6.262
2041,12,3.009
2042,1,1.449
2042,2,1.301
2042,3,1.368
2042,4,2.024
2042,5,4.444
2042,6,8.296
2042,7,11.022
2042,8,11.98
2042,9,11.226
2042,10,8.964
2042,11,5.672
2042,12,2.512
2043,1,1.909
2043,2,1.254
2043,3,1.469
2043,4,2.486
2043,5,5.321
2043,6,8.546
2043,7,11.933
2043,8,13.386
2043,9,11.519
2043,10,9.437
2043,11,6.405
2043,12,3.978
2044,1,3.804
2044,2,2.22
2044,3,2.663
2044,4,3.816
2044,5,6.406
2044,6,9.75
2044,7,11.971
2044,8,12.595
2044,9,11.996
2044,10,9.489
2044,11,6.262
2044,12,3.009
2045,1,1.449
2045,2,1.301
2045,3,1.368
2045,4,2.024
2045,5,4.444
2045,6,8.296
2045,7,11.022
2045,8,11.98
2045,9,11.226
2045,10,8.964
2045,11,5.672
2045,12,2.512
2046,1,1.909
2046,2,1.254
2046,3,1.469
2046,4,2.486
2046,5,5.321
2046,6,8.546
2046,7,11.933
2046,8,13.386
2046,9,11.519
2046,10,9.437
2046,11,6.405
2046,12,3.978
2047,1,3.804
2047,2,2.22
2047,3,2.663
2047,4,3.816
2047,5,6.406
2047,6,9.75
2047,7,11.971
2047,8,12.595
2047,9,11.996
2047,10,9.489
2047,11,6.262
2047,12,3.009
2048,1,1.449
2048,2,1.301
2048,3,1.368
2048,4,2.024
2048,5,4.444
2048,6,8.296
2048,7,11.022
2048,8,11.98
2048,9,11.226
2048,10,8.964
2048,11,5.672
2048,12,2.512
2049,1,1.909
2049,2,1.254
2049,3,1.469
2049,4,2.486
2049,5,5.321
2049,6,8.546
2049,7,11.933
2049,8,13.386
2049,9,11.519
2049,10,9.437
2049,11,6.405
2049,12,3.978
2050,1,3.804
2050,2,2.22
2050,3,2.663
2050,4,3.816
2050,5,6.406
2050,6,9.75
2050,7,11.971
2050,8,12.595
2050,9,11.996
2050,10,9.489
2050,11,6.262
2050,12,3.009
