year,month,sst
2012,1,7.928
2012,2,7.192
2012,3,7.518
2012,4,8.894
2012,5,9.43
2012,6,10.555
2012,7,11.627
2012,8,11.99
2012,9,11.276
2012,10,9.031
2012,11,8.679
2012,12,8.832
2013,1,7.669
2013,2,8.482
2013,3,8.139
2013,4,9.242
2013,5,10.339
2013,6,10.412
2013,7,11.121
2013,8,11.155
2013,9,11.613
2013,10,11.729
2013,11,9.039
2013,12,7.269
2014,1,7.065
2014,2,6.794
2014,3,7.959
2014,4,9.319
2014,5,11.984
2014,6,11.558
2014,7,12.174
2014,8,12.685
2014,9,12.609
2014,10,11.018
2014,11,9.84
2014,12,8.97
2015,1,7.84
2015,2,8.884
2015,3,8.991
2015,4,10.031
2015,5,10.811
2015,6,10.659
2015,7,12.672
2015,8,12.999
2015,9,11.749
2015,10,9.677
2015,11,9.447
2015,12,8.029
2016,1,7.285
2016,2,8.908
2016,3,8.766
2016,4,10.517
2016,5,11.395
2016,6,12.736
2016,7,12.724
2016,8,13.777
2016,9,12.745
2016,10,10.883
2016,11,11.472
2016,12,8.355
2017,1,6.69
2017,2,7.163
2017,3,7.226
2017,4,8.251
2017,5,9.382
2017,6,10.837
2017,7,11.611
2017,8,11.685
2017,9,10.507
2017,10,8.765
2017,11,7.871
2017,12,7.47
2018,1,6.69
2018,2,7.163
2018,3,7.226
2018,4,8.251
2018,5,9.382
2018,6,10.837
2018,7,11.611
2018,8,11.685
2018,9,10.507
2018,10,8.765
2018,11,7.871
2018,12,7.47
2019,1,6.69
2019,2,7.163
2019,3,7.226
2019,4,8.251
2019,5,9.382
2019,6,10.837
2019,7,11.611
2019,8,11.685
2019,9,10.507
2019,10,8.765
2019,11,7.871
2019,12,7.47
2020,1,6.69
2020,2,7.163
2020,3,7.226
2020,4,8.251
2020,5,9.382
2020,6,10.837
2020,7,11.611
2020,8,11.685
2020,9,10.507
2020,10,8.765
2020,11,7.871
2020,12,7.47
2021,1,6.69
2021,2,7.163
2021,3,7.226
2021,4,8.251
2021,5,9.382
2021,6,10.837
2021,7,11.611
2021,8,11.685
2021,9,10.507
2021,10,8.765
2021,11,7.871
2021,12,7.47
2022,1,6.69
2022,2,7.163
2022,3,7.226
2022,4,8.251
2022,5,9.382
2022,6,10.837
2022,7,11.611
2022,8,11.685
2022,9,10.507
2022,10,8.765
2022,11,7.871
2022,12,7.47
2023,1,6.69
2023,2,7.163
2023,3,7.226
2023,4,8.251
2023,5,9.382
2023,6,10.837
2023,7,11.611
2023,8,11.685
2023,9,10.507
2023,10,8.765
2023,11,7.871
2023,12,7.47
2024,1,6.69
2024,2,7.163
2024,3,7.226
2024,4,8.251
2024,5,9.382
2024,6,10.837
2024,7,11.611
2024,8,11.685
2024,9,10.507
2024,10,8.765
2024,11,7.871
2024,12,7.47
2025,1,6.69
2025,2,7.163
2025,3,7.226
2025,4,8.251
2025,5,9.382
2025,6,10.837
2025,7,11.611
2025,8,11.685
2025,9,10.507
2025,10,8.765
2025,11,7.871
2025,12,7.47
2026,1,6.69
2026,2,7.163
2026,3,7.226
2026,4,8.251
2026,5,9.382
2026,6,10.837
2026,7,11.611
2026,8,11.685
2026,9,10.507
2026,10,8.765
2026,11,7.871
2026,12,7.47
2027,1,6.69
2027,2,7.163
2027,3,7.226
2027,4,8.251
2027,5,9.382
2027,6,10.837
2027,7,11.611
2027,8,11.685
2027,9,10.507
2027,10,8.765
2027,11,7.871
2027,12,7.47
2028,1,6.877
2028,2,6.979
2028,3,7.592
2028,4,8.785
2028,5,10.683
2028,6,11.197
2028,7,12.672
2028,8,12.999
2028,9,11.749
2028,10,9.677
2028,11,9.447
2028,12,8.029
2029,1,7.84
2029,2,8.884
2029,3,8.991
2029,4,10.031
2029,5,10.811
2029,6,10.659
2029,7,12.167
2029,8,12.731
2029,9,11.626
2029,10,9.824
2029,11,9.672
2029,12,7.912
2030,1,6.69
2030,2,7.163
2030,3,7.226
2030,4,8.251
2030,5,9.382
2030,6,10.837
2030,7,11.611
2030,8,11.685
2030,9,10.507
2030,10,8.765
2030,11,7.871
2030,12,7.47
2031,1,6.877
2031,2,6.979
2031,3,7.592
2031,4,8.785
2031,5,10.683
2031,6,11.197
2031,7,12.672
2031,8,12.999
2031,9,11.749
2031,10,9.677
2031,11,9.447
2031,12,8.029
2032,1,7.84
2032,2,8.884
2032,3,8.991
2032,4,10.031
2032,5,10.811
2032,6,10.659
2032,7,12.167
2032,8,12.731
2032,9,11.626
2032,10,9.824
2032,11,9.672
2032,12,7.912
2033,1,6.69
2033,2,7.163
2033,3,7.226
2033,4,8.251
2033,5,9.382
2033,6,10.837
2033,7,11.611
2033,8,11.685
2033,9,10.507
2033,10,8.765
2033,11,7.871
2033,12,7.47
2034,1,6.877
2034,2,6.979
2034,3,7.592
2034,4,8.785
2034,5,10.683
2034,6,11.197
2034,7,12.672
2034,8,12.999
2034,9,11.749
2034,10,9.677
2034,11,9.447
2034,12,8.029
2035,1,7.84
2035,2,8.884
2035,3,8.991
2035,4,10.031
2035,5,10.811
2035,6,10.659
2035,7,12.167
2035,8,12.731
2035,9,11.626
2035,10,9.824
2035,11,9.672
2035,12,7.912
2036,1,6.69
2036,2,7.163
2036,3,7.226
2036,4,8.251
2036,5,9.382
2036,6,10.837
2036,7,11.611
2036,8,11.685
2036,9,10.507
2036,10,8.765
2036,11,7.871
2036,12,7.47
2037,1,6.877
2037,2,6.979
2037,3,7.592
2037,4,8.785
2037,5,10.683
2037,6,11.197
2037,7,12.672
2037,8,12.999
2037,9,11.749
2037,10,9.677
2037,11,9.447
2037,12,8.029
2038,1,7.84
2038,2,8.884
2038,3,8.991
2038,4,10.031
2038,5,10.811
2038,6,10.659
2038,7,12.167
2038,8,12.731
2038,9,11.626
2038,10,9.824
2038,11,9.672
2038,12,7.912
2039,1,6.69
2039,2,7.163
2039,3,7.226
2039,4,8.251
2039,5,9.382
2039,6,10.837
2039,7,11.611
2039,8,11.685
2039,9,10.507
2039,10,8.765
2039,11,7.871
2039,12,7.47
2040,1,6.877
2040,2,6.979
2040,3,7.592
2040,4,8.785
2040,5,10.683
2040,6,11.197
2040,7,12.672
2040,8,12.999
2040,9,11.749
2040,10,9.677
2040,11,9.447
2040,12,8.029
2041,1,7.84
2041,2,8.884
2041,3,8.991
2041,4,10.031
2041,5,10.811
2041,6,10.659
2041,7,12.167
2041,8,12.731
2041,9,11.626
2041,10,9.824
2041,11,9.672
2041,12,7.912
2042,1,6.69
2042,2,7.163
2042,3,7.226
2042,4,8.251
2042,5,9.382
2042,6,10.837
2042,7,11.611
2042,8,11.685
2042,9,10.507
2042,10,8.765
2042,11,7.871
2042,12,7.47
2043,1,6.877
2043,2,6.979
2043,3,7.592
2043,4,8.785
2043,5,10.683
2043,6,11.197
2043,7,12.672
2043,8,12.999
2043,9,11.749
2043,10,9.677
2043,11,9.447
2043,12,8.029
2044,1,7.84
2044,2,8.884
2044,3,8.991
2044,4,10.031
2044,5,10.811
2044,6,10.659
2044,7,12.167
2044,8,12.731
2044,9,11.626
2044,10,9.824
2044,11,9.672
2044,12,7.912
2045,1,6.69
2045,2,7.163
2045,3,7.226
2045,4,8.251
2045,5,9.382
2045,6,10.837
2045,7,11.611
2045,8,11.685
2045,9,10.507
2045,10,8.765
2045,11,7.871
2045,12,7.47
2046,1,6.877
2046,2,6.979
2046,3,7.592
2046,4,8.785
2046,5,10.683
2046,6,11.197
2046,7,12.672
2046,8,12.999
2046,9,11.749
2046,10,9.677
2046,11,9.447
2046,12,8.029
2047,1,7.84
2047,2,8.884
2047,3,8.991
2047,4,10.031
2047,5,10.811
2047,6,10.659
2047,7,12.167
2047,8,12.731
2047,9,11.626
2047,10,9.824
2047,11,9.672
2047,12,7.912
2048,1,6.69
2048,2,7.163
2048,3,7.226
2048,4,8.251
2048,5,9.382
2048,6,10.837
2048,7,11.611
2048,8,11.685
2048,9,10.507
2048,10,8.765
2048,11,7.871
2048,12,7.47
2049,1,6.877
2049,2,6.979
2049,3,7.592
2049,4,8.785
2049,5,10.683
2049,6,11.197
2049,7,12.672
2049,8,12.999
2049,9,11.749
2049,10,9.677
2049,11,9.447
2049,12,8.029
2050,1,7.84
2050,2,8.884
2050,3,8.991
2050,4,10.031
2050,5,10.811
2050,6,10.659
2050,7,12.167
2050,8,12.731
2050,9,11.626
2050,10,9.824
2050,11,9.672
2050,12,7.912
