year,month,sst
2012,1,6.22
2012,2,5.736
2012,3,5.384
2012,4,7.046
2012,5,7.964
2012,6,10.802
2012,7,13.378
2012,8,13.532
2012,9,11.525
2012,10,9.763
2012,11,7.35
2012,12,6.713
2013,1,6.064
2013,2,6.582
2013,3,5.762
2013,4,6.981
2013,5,8.885
2013,6,12.917
2013,7,14.957
2013,8,15.34
2013,9,13.037
2013,10,10.365
2013,11,8.358
2013,12,6.802
2014,1,6.559
2014,2,5.156
2014,3,5.375
2014,4,6.153
2014,5,8.879
2014,6,11.452
2014,7,13.96
2014,8,14.916
2014,9,12.723
2014,10,10.195
2014,11,8.846
2014,12,8.419
2015,1,7.97
2015,2,7.041
2015,3,7.464
2015,4,8.42
2015,5,11.839
2015,6,13.677
2015,7,14.858
2015,8,13.8
2015,9,12.859
2015,10,10.636
2015,11,8.633
2015,12,7.314
2016,1,6.78
2016,2,7.128
2016,3,6.615
2016,4,8.608
2016,5,11.403
2016,6,13.281
2016,7,14.342
2016,8,14.742
2016,9,12.736
2016,10,9.943
2016,11,8.399
2016,12,7.677
2017,1,6.98
2017,2,5.587
2017,3,5.509
2017,4,7.397
2017,5,9.189
2017,6,11.895
2017,7,12.871
2017,8,14.865
2017,9,13.925
2017,10,10.559
2017,11,7.273
2017,12,6.577
2018,1,5.603
2018,2,5.483
2018,3,5.632
2018,4,6.546
2018,5,9.428
2018,6,12.217
2018,7,15.21
2018,8,15.49
2018,9,12.452
2018,10,9.703
2018,11,8.787
2018,12,7.33
2019,1,7.622
2019,2,6.324
2019,3,6.56
2019,4,7.503
2019,5,10.823
2019,6,14.05
2019,7,15.955
2019,8,15.4
2019,9,13.522
2019,10,10.473
2019,11,9.226
2019,12,7.292
2020,1,6.284
2020,2,5.751
2020,3,5.874
2020,4,6.65
2020,5,10.634
2020,6,12.351
2020,7,13.92
2020,8,13.89
2020,9,13.715
2020,10,10.32
2020,11,8.237
2020,12,7.319
2021,1,6.957
2021,2,4.938
2021,3,6.466
2021,4,6.966
2021,5,9.196
2021,6,11.235
2021,7,14.708
2021,8,14.382
2021,9,12.288
2021,10,10.023
2021,11,8.171
2021,12,6.544
2022,1,5.334
2022,2,5.332
2022,3,5.806
2022,4,6.758
2022,5,9.36
2022,6,13.007
2022,7,16.165
2022,8,16.22
2022,9,14.371
2022,10,11.7
2022,11,8.224
2022,12,6.037
2023,1,5.653
2023,2,5.486
2023,3,4.98
2023,4,6.228
2023,5,10.195
2023,6,12.686
2023,7,15.541
2023,8,16.155
2023,9,13.456
2023,10,10.569
2023,11,8.343
2023,12,7.777
2024,1,6.497
2024,2,6.292
2024,3,6.692
2024,4,8.106
2024,5,9.817
2024,6,11.885
2024,7,14.462
2024,8,16.098
2024,9,13.138
2024,10,9.985
2024,11,8.119
2024,12,6.868
2025,1,5.969
2025,2,5.604
2025,3,5.589
2025,4,6.54
2025,5,8.508
2025,6,11.515
2025,7,13.409
2025,8,13.905
2025,9,11.816
2025,10,9.815
2025,11,7.813
2025,12,6.759
2026,1,5.969
2026,2,5.604
2026,3,5.589
2026,4,6.54
2026,5,8.508
2026,6,11.515
2026,7,13.409
2026,8,13.905
2026,9,11.816
2026,10,9.815
2026,11,7.813
2026,12,6.759
2027,1,5.969
2027,2,5.604
2027,3,5.589
2027,4,6.54
2027,5,8.508
2027,6,11.515
2027,7,13.409
2027,8,13.905
2027,9,11.816
2027,10,9.815
2027,11,7.813
2027,12,6.759
2028,1,6.264
2028,2,5.38
2028,3,5.482
2028,4,6.347
2028,5,8.693
2028,6,11.484
2028,7,14.858
2028,8,13.8
2028,9,12.859
2028,10,10.636
2028,11,8.633
2028,12,7.314
2029,1,7.97
2029,2,7.041
2029,3,7.464
2029,4,8.42
2029,5,11.839
2029,6,13.677
2029,7,13.875
2029,8,14.323
2029,9,12.276
2029,10,9.879
2029,11,8.106
2029,12,7.218
2030,1,5.969
2030,2,5.604
2030,3,5.589
2030,4,6.54
2030,5,8.508
2030,6,11.515
2030,7,13.409
2030,8,13.905
2030,9,11.816
2030,10,9.815
2030,11,7.813
2030,12,6.759
2031,1,6.264
2031,2,5.38
2031,3,5.482
2031,4,6.347
2031,5,8.693
2031,6,11.484
2031,7,14.858
