year,month,sst
2012,1,5.857
2012,2,4.852
2012,3,5.418
2012,4,6.396
2012,5,6.602
2012,6,8.755
2012,7,10.053
2012,8,10.355
2012,9,9.094
2012,10,8.058
2012,11,7.132
2012,12,6.012
2013,1,6.132
2013,2,6.141
2013,3,5.191
2013,4,6.091
2013,5,7.117
2013,6,9.525
2013,7,10.901
2013,8,10.67
2013,9,11.386
2013,10,9.597
2013,11,7.52
2013,12,6.187
2014,1,6.533
2014,2,5.591
2014,3,5.36
2014,4,5.086
2014,5,6.995
2014,6,9.32
2014,7,11.083
2014,8,12.476
2014,9,10.321
2014,10,8.936
2014,11,8.408
2014,12,7.981
2015,1,7.195
2015,2,6.262
2015,3,6.924
2015,4,7.909
2015,5,9.014
2015,6,9.801
2015,7,11.093
2015,8,10.323
2015,9,10.021
2015,10,9.399
2015,11,8.603
2015,12,7.846
2016,1,7.373
2016,2,6.735
2016,3,6.661
2016,4,7.749
2016,5,9.6
2016,6,10.677
2016,7,11.631
2016,8,11.233
2016,9,10.294
2016,10,7.547
2016,11,9.195
2016,12,7.986
2017,1,6.679
2017,2,5.952
2017,3,5.464
2017,4,5.907
2017,5,8.305
2017,6,10.177
2017,7,11.33
2017,8,12.238
2017,9,10.101
2017,10,7.929
2017,11,6.991
2017,12,7.349
2018,1,6.246
2018,2,5.462
2018,3,5.426
2018,4,6.212
2018,5,8.42
2018,6,10.32
2018,7,10.9
2018,8,12.055
2018,9,8.147
2018,10,9.213
2018,11,9.076
2018,12,8.728
2019,1,7.186
2019,2,5.996
2019,3,6.368
2019,4,7.175
2019,5,8.741
2019,6,10.561
2019,7,11.901
2019,8,10.588
2019,9,9.887
2019,10,9.401
2019,11,8.102
2019,12,4.947
2020,1,5.824
2020,2,5.875
2020,3,5.767
2020,4,5.989
2020,5,7.837
2020,6,10.655
2020,7,11.91
2020,8,12.937
2020,9,10.757
2020,10,9.892
2020,11,8.472
2020,12,7.506
2021,1,7.153
2021,2,5.55
2021,3,5.83
2021,4,6.047
2021,5,7.315
2021,6,9.072
2021,7,11.908
2021,8,12.292
2021,9,11.578
2021,10,9.873
2021,11,7.657
2021,12,6.377
2022,1,5.147
2022,2,5.411
2022,3,5.589
2022,4,5.959
2022,5,7.753
2022,6,9.948
2022,7,11.921
2022,8,11.496
2022,9,9.701
2022,10,9.107
2022,11,7.178
2022,12,5.98
2023,1,5.845
2023,2,5.718
2023,3,4.966
2023,4,5.663
2023,5,8.042
2023,6,9.7
2023,7,11.564
2023,8,11.468
2023,9,10.19
2023,10,9.51
2023,11,7.893
2023,12,7.79
2024,1,6.287
2024,2,6.057
2024,3,6.05
2024,4,6.934
2024,5,8.218
2024,6,9.522
2024,7,10.445
2024,8,11.124
2024,9,9.255
2024,10,8.778
2024,11,7.743
2024,12,7.008
2025,1,5.816
2025,2,5.426
2025,3,5.159
2025,4,5.832
2025,5,7.115
2025,6,9.31
2025,7,10.812
2025,8,10.959
