year,month,sst
2012,1,6.808
2012,2,6.183
2012,3,5.874
2012,4,6.93
2012,5,7.269
2012,6,8.94
2012,7,11.117
2012,8,12.667
2012,9,11.976
2012,10,10.856
2012,11,9.299
2012,12,7.533
2013,1,7.108
2013,2,6.602
2013,3,6.275
2013,4,7.071
2013,5,7.666
2013,6,10.619
2013,7,12.718
2013,8,13.19
2013,9,14.654
2013,10,12.078
2013,11,9.7
2013,12,8.019
2014,1,7.838
2014,2,6.521
2014,3,6.237
2014,4,6.346
2014,5,8.399
2014,6,10.49
2014,7,12.411
2014,8,14.865
2014,9,14.433
2014,10,12.792
2014,11,10.288
2014,12,9.332
2015,1,8.369
2015,2,8.422
2015,3,8.121
2015,4,8.759
2015,5,9.795
2015,6,11.571
2015,7,13.932
2015,8,14.498
2015,9,13.293
2015,10,11.785
2015,11,10.254
2015,12,9.104
2016,1,8.525
2016,2,8.23
2016,3,8.131
2016,4,9.032
2016,5,10.143
2016,6,11.676
2016,7,13.28
2016,8,14.028
2016,9,12.671
2016,10,12.393
2016,11,10.728
2016,12,9.133
2017,1,7.862
2017,2,7.204
2017,3,6.524
2017,4,7.181
2017,5,8.547
2017,6,10.152
2017,7,12.481
2017,8,13.668
2017,9,13.456
2017,10,11.644
2017,11,9.152
2017,12,8.282
2018,1,7.236
2018,2,6.934
2018,3,6.712
2018,4,7.37
2018,5,8.898
2018,6,10.651
2018,7,12.569
2018,8,13.423
2018,9,12.632
2018,10,11.874
2018,11,10.759
2018,12,9.172
2019,1,7.974
2019,2,7.46
2019,3,7.2
2019,4,7.908
2019,5,9.071
2019,6,11.328
2019,7,13.885
2019,8,13.953
2019,9,12.936
2019,10,11.3
2019,11,9.963
2019,12,8.615
2020,1,7.26
2020,2,6.585
2020,3,6.378
2020,4,6.847
2020,5,8.82
2020,6,10.565
2020,7,12.658
2020,8,13.611
2020,9,13.479
2020,10,11.877
2020,11,9.342
2020,12,8.056
2021,1,7.652
2021,2,6.626
2021,3,6.423
2021,4,6.403
2021,5,8.072
2021,6,9.851
2021,7,12.614
2021,8,13.984
2021,9,12.982
2021,10,10.864
2021,11,9.155
2021,12,7.534
2022,1,6.536
2022,2,6.519
2022,3,6.59
2022,4,6.985
2022,5,8.193
2022,6,10.395
2022,7,12.336
2022,8,13.979
2022,9,13.818
2022,10,12.907
2022,11,9.622
2022,12,7.465
2023,1,7.224
2023,2,7.206
2023,3,6.268
2023,4,6.615
2023,5,8.784
2023,6,10.658
2023,7,12.632
2023,8,13.713
2023,9,13.027
2023,10,12.441
2023,11,10.109
2023,12,9.145
2024,1,8.094
2024,2,7.889
2024,3,7.498
2024,4,7.733
2024,5,8.849
2024,6,10.215
2024,7,12.635
2024,8,13.678
2024,9,13.014
2024,10,11.187
2024,11,9.729
2024,12,8.492
2025,1,6.967
2025,2,6.6
2025,3,6.394
2025,4,6.718
2025,5,7.867
2025,6,10.004
2025,7,11.997
2025,8,13.124
2025,9,12.25
2025,10,10.95
2025,11,9.139
2025,12,7.811
2026,1,6.967
2026,2,6.6
2026,3,6.394
2026,4,6.718
2026,5,7.867
2026,6,10.004
2026,7,11.997
2026,8,13.124
2026,9,12.25
2026,10,10.95
2026,11,9.139
2026,12,7.811
2027,1,6.967
2027,2,6.6
2027,3,6.394
2027,4,6.718
2027,5,7.867
2027,6,10.004
2027,7,11.997
2027,8,13.124
2027,9,12.25
2027,10,10.95
2027,11,9.139
2027,12,7.811
2028,1,7.403
2028,2,6.56
2028,3,6.316
2028,4,6.532
2028,5,8.133
2028,6,10.247
2028,7,13.932
2028,8,14.498
2028,9,13.293
