year,month,sst
2012,1,3.731
2012,2,3.169
2012,3,2.913
2012,4,3.12
2012,5,3.611
2012,6,5.036
2012,7,6.936
2012,8,8.781
2012,9,7.728
2012,10,6.655
2012,11,5.131
2012,12,4.6
2013,1,3.883
2013,2,3.451
2013,3,3.232
2013,4,3.682
2013,5,3.978
2013,6,6.141
2013,7,8.163
2013,8,8.918
2013,9,9.269
2013,10,7.543
2013,11,6.221
2013,12,5.059
2014,1,4.242
2014,2,3.776
2014,3,3.57
2014,4,4.061
2014,5,5.156
2014,6,6.133
2014,7,8.596
2014,8,10.444
2014,9,10.529
2014,10,8.105
2014,11,6.291
2014,12,5.424
2015,1,5.043
2015,2,4.477
2015,3,4.439
2015,4,3.915
2015,5,5.021
2015,6,6.454
2015,7,7.742
2015,8,9.594
2015,9,10.479
2015,10,8.661
2015,11,6.55
2015,12,4.887
2016,1,4.185
2016,2,4.026
2016,3,4.101
2016,4,4.404
2016,5,5.854
2016,6,7.009
2016,7,9.255
2016,8,9.905
2016,9,10.052
2016,10,8.375
2016,11,6.483
2016,12,5.357
2017,1,4.454
2017,2,4.313
2017,3,4.285
2017,4,4.353
2017,5,4.837
2017,6,6.391
2017,7,7.925
2017,8,9.117
2017,9,9.361
2017,10,8.088
2017,11,6.838
2017,12,5.211
2018,1,4.713
2018,2,4.492
2018,3,4.125
2018,4,4.019
2018,5,4.685
2018,6,5.868
2018,7,7.154
2018,8,8.987
2018,9,9.956
2018,10,8.395
2018,11,6.513
2018,12,5.072
2019,1,4.599
2019,2,4.381
2019,3,3.888
2019,4,4.439
2019,5,5.354
2019,6,6.831
2019,7,8.36
2019,8,11.292
2019,9,9.688
2019,10,8.385
2019,11,6.688
2019,12,5.362
2020,1,4.399
2020,2,4.327
2020,3,4.244
2020,4,4.5
2020,5,5.243
2020,6,6.569
2020,7,8.901
2020,8,9.902
2020,9,9.394
2020,10,7.967
2020,11,6.064
2020,12,4.912
2021,1,4.162
2021,2,4.038
2021,3,3.879
2021,4,4.202
2021,5,4.715
2021,6,6.438
2021,7,8.613
2021,8,10.632
2021,9,9.611
2021,10,7.055
2021,11,5.791
2021,12,4.885
2022,1,4.306
2022,2,4.067
2022,3,4.021
2022,4,4.061
2022,5,5.28
2022,6,6.117
2022,7,7.61
2022,8,8.627
2022,9,9.448
2022,10,7.988
2022,11,6.374
2022,12,5.529
2023,1,4.648
2023,2,4.385
2023,3,3.864
2023,4,4.089
2023,5,4.534
2023,6,6.14
2023,7,8.362
2023,8,9.645
2023,9,9.171
2023,10,7.765
2023,11,6.463
2023,12,5.346
2024,1,4.351
2024,2,3.919
2024,3,3.49
2024,4,3.891
2024,5,4.286
2024,6,5.136
2024,7,7.072
2024,8,8.609
2024,9,8.595
2024,10,7.128
2024,11,5.762
2024,12,4.954
2025,1,3.904
2025,2,3.622
2025,3,3.526
2025,4,3.657
2025,5,4.34
2025,6,5.819
2025,7,7.507
2025,8,9.022
2025,9,8.791
2025,10,7.263
2025,11,5.661
2025,12,4.572
2026,1,3.904
2026,2,3.622
2026,3,3.526
2026,4,3.657
2026,5,4.34
2026,6,5.819
2026,7,7.507
2026,8,9.022
2026,9,8.791
2026,10,7.263
2026,11,5.661
2026,12,4.572
2027,1,3.904
2027,2,3.622
2027,3,3.526
2027,4,3.657
2027,5,4.34
2027,6,5.819
2027,7,7.507
2027,8,9.022
2027,9,8.791
2027,10,7.263
2027,11,5.661
2027,12,4.572
2028,1,4.073
2028,2,3.699
2028,3,3.548
2028,4,3.859
2028,5,4.748
2028,6,5.976
2028,7,7.742
2028,8,9.594
2028,9,10.479
2028,10,8.661
2028,11,6.55
2028,12,4.887
2029,1,5.043
2029,2,4.477
2029,3,4.439
2029,4,3.915
2029,5,5.021
2029,6,6.454
2029,7,8.381
2029,8,9.464
2029,9,9.422
2029,10,7.819
2029,11,6.072
2029,12,4.965
2030,1,3.904
2030,2,3.622
2030,3,3.526
2030,4,3.657
2030,5,4.34
2030,6,5.819
2030,7,7.507
2030,8,9.022
2030,9,8.791
2030,10,7.263
2030,11,5.661
2030,12,4.572
2031,1,4.073
2031,2,3.699
2031,3,3.548
2031,4,3.859
2031,5,4.748
2031,6,5.976
2031,7,7.742
2031,8,9.594
2031,9,10.479
2031,10,8.661
2031,11,6.55
2031,12,4.887
2032,1,5.043
2032,2,4.477
2032,3,4.439
2032,4,3.915
2032,5,5.021
2032,6,6.454
2032,7,8.381
2032,8,9.464
2032,9,9.422
2032,10,7.819
2032,11,6.072
2032,12,4.965
2033,1,3.904
2033,2,3.622
2033,3,3.526
2033,4,3.657
2033,5,4.34
2033,6,5.819
2033,7,7.507
2033,8,9.022
2033,9,8.791
2033,10,7.263
2033,11,5.661
2033,12,4.572
2034,1,4.073
2034,2,3.699
2034,3,3.548
2034,4,3.859
2034,5,4.748
2034,6,5.976
2034,7,7.742
2034,8,9.594
2034,9,10.479
2034,10,8.661
2034,11,6.55
2034,12,4.887
2035,1,5.043
2035,2,4.477
2035,3,4.439
2035,4,3.915
2035,5,5.021
2035,6,6.454
2035,7,8.381
2035,8,9.464
2035,9,9.422
2035,10,7.819
2035,11,6.072
2035,12,4.965
2036,1,3.904
2036,2,3.622
2036,3,3.526
2036,4,3.657
2036,5,4.34
2036,6,5.819
2036,7,7.507
2036,8,9.022
2036,9,8.791
2036,10,7.263
2036,11,5.661
2036,12,4.572
2037,1,4.073
2037,2,3.699
2037,3,3.548
2037,4,3.859
2037,5,4.748
2037,6,5.976
2037,7,7.742
2037,8,9.594
2037,9,10.479
2037,10,8.661
2037,11,6.55
2037,12,4.887
2038,1,5.043
2038,2,4.477
2038,3,4.439
2038,4,3.915
2038,5,5.021
2038,6,6.454
2038,7,8.381
2038,8,9.464
2038,9,9.422
2038,10,7.819
2038,11,6.072
2038,12,4.965
2039,1,3.904
2039,2,3.622
2039,3,3.526
2039,4,3.657
2039,5,4.34
2039,6,5.819
2039,7,7.507
2039,8,9.022
2039,9,8.791
2039,10,7.263
2039,11,5.661
2039,12,4.572
2040,1,4.073
2040,2,3.699
2040,3,3.548
2040,4,3.859
2040,5,4.748
2040,6,5.976
2040,7,7.742
2040,8,9.594
2040,9,10.479
2040,10,8.661
2040,11,6.55
2040,12,4.887
2041,1,5.043
2041,2,4.477
2041,3,4.439
2041,4,3.915
2041,5,5.021
2041,6,6.454
2041,7,8.381
2041,8,9.464
2041,9,9.422
2041,10,7.819
2041,11,6.072
2041,12,4.965
2042,1,3.904
2042,2,3.622
2042,3,3.526
2042,4,3.657
2042,5,4.34
2042,6,5.819
2042,7,7.507
2042,8,9.022
2042,9,8.791
2042,10,7.263
2042,11,5.661
2042,12,4.572
2043,1,4.073
2043,2,3.699
2043,3,3.548
2043,4,3.859
2043,5,4.748
2043,6,5.976
2043,7,7.742
2043,8,9.594
2043,9,10.479
2043,10,8.661
2043,11,6.55
2043,12,4.887
2044,1,5.043
2044,2,4.477
2044,3,4.439
2044,4,3.915
2044,5,5.021
2044,6,6.454
2044,7,8.381
2044,8,9.464
2044,9,9.422
2044,10,7.819
2044,11,6.072
2044,12,4.965
2045,1,3.904
2045,2,3.622
2045,3,3.526
2045,4,3.657
2045,5,4.34
2045,6,5.819
2045,7,7.507
2045,8,9.022
2045,9,8.791
2045,10,7.263
2045,11,5.661
2045,12,4.572
