year,month,sst
2012,1,7.082
2012,2,6.924
2012,3,7.248
2012,4,9.105
2012,5,10.795
2012,6,12.369
2012,7,15.067
2012,8,16.225
2012,9,13.408
2012,10,10.607
2012,11,8.924
2012,12,8.035
2013,1,6.984
2013,2,7.151
2013,3,7.922
2013,4,9.409
2013,5,10.913
2013,6,12.948
2013,7,16.188
2013,8,15.61
2013,9,14.552
2013,10,11.214
2013,11,9.196
2013,12,7.697
2014,1,7.253
2014,2,6.799
2014,3,7.752
2014,4,9.286
2014,5,12.233
2014,6,13.587
2014,7,15.215
2014,8,16.7
2014,9,14.71
2014,10,12.046
2014,11,9.615
2014,12,8.205
2015,1,7.799
2015,2,8.623
2015,3,9.047
2015,4,10.43
2015,5,12.77
2015,6,15.437
2015,7,15.697
2015,8,15.874
2015,9,13.571
2015,10,12.224
2015,11,9.751
2015,12,8.746
2016,1,7.779
2016,2,8.191
2016,3,8.932
2016,4,11.204
2016,5,12.762
2016,6,14.253
2016,7,15.881
2016,8,15.614
2016,9,13.848
2016,10,11.151
2016,11,10.119
2016,12,7.8
2017,1,7.105
2017,2,6.878
2017,3,7.689
2017,4,9.339
2017,5,11.627
2017,6,13.957
2017,7,15.791
2017,8,15.682
2017,9,14.745
2017,10,11.33
2017,11,9.172
2017,12,7.883
2018,1,7.307
2018,2,7.351
2018,3,7.921
2018,4,9.194
2018,5,12.593
2018,6,13.682
2018,7,15.987
2018,8,15.954
2018,9,13.704
2018,10,11.403
2018,11,9.599
2018,12,8.543
2019,1,7.901
2019,2,7.041
2019,3,7.926
2019,4,9.649
2019,5,12.34
2019,6,14.459
2019,7,15.645
2019,8,16.635
2019,9,14.577
2019,10,10.95
2019,11,9.499
2019,12,8.339
2020,1,7.813
2020,2,7.457
2020,3,7.913
2020,4,9.812
2020,5,12.173
2020,6,13.25
2020,7,15.191
2020,8,15.312
2020,9,13.91
2020,10,11.555
2020,11,8.856
2020,12,7.516
2021,1,7.268
2021,2,6.851
2021,3,7.579
2021,4,9.062
2021,5,11.298
2021,6,14.034
2021,7,16.704
2021,8,16.889
2021,9,14.349
2021,10,10.794
2021,11,8.813
2021,12,8.125
2022,1,6.783
2022,2,7.07
2022,3,8.063
2022,4,9.151
2022,5,10.814
2022,6,12.678
2022,7,15.199
2022,8,16.66
2022,9,14.075
2022,10,11.595
2022,11,8.627
2022,12,7.693
2023,1,7.357
2023,2,7.546
2023,3,7.543
2023,4,8.706
2023,5,12.071
2023,6,13.384
2023,7,14.445
2023,8,14.992
2023,9,13.23
2023,10,11.04
2023,11,9.564
2023,12,8.895
2024,1,8.152
2024,2,8.051
2024,3,8.626
2024,4,9.812
2024,5,11.638
2024,6,12.848
2024,7,15.077
2024,8,14.844
2024,9,13.622
2024,10,10.86
2024,11,9.271
2024,12,8.506
2025,1,7.241
2025,2,7.317
2025,3,7.802
2025,4,9.113
2025,5,11.228
2025,6,13.262
2025,7,14.8
2025,8,15.164
2025,9,13.325
2025,10,10.919
2025,11,9.02
2025,12,7.86
2026,1,7.241
2026,2,7.317
2026,3,7.802
2026,4,9.113
2026,5,11.228
2026,6,13.262
2026,7,14.8
2026,8,15.164
2026,9,13.325
2026,10,10.919
2026,11,9.02
2026,12,7.86
2027,1,7.241
2027,2,7.317
2027,3,7.802
2027,4,9.113
2027,5,11.228
2027,6,13.262
2027,7,14.8
2027,8,15.164
2027,9,13.325
2027,10,10.919
2027,11,9.02
2027,12,7.86
2028,1,7.247
2028,2,7.058
2028,3,7.777
2028,4,9.2
2028,5,11.73
2028,6,13.424
2028,7,15.697
2028,8,15.874
2028,9,13.571
2028,10,12.224
2028,11,9.751
2028,12,8.746
2029,1,7.799
2029,2,8.623
2029,3,9.047
2029,4,10.43
2029,5,12.77
2029,6,15.437
2029,7,15.34
2029,8,15.389
2029,9,13.586
2029,10,11.035
2029,11,9.569
2029,12,7.83
2030,1,7.241
2030,2,7.317
2030,3,7.802
2030,4,9.113
2030,5,11.228
2030,6,13.262
2030,7,14.8
2030,8,15.164
2030,9,13.325
2030,10,10.919
2030,11,9.02
2030,12,7.86
2031,1,7.247
2031,2,7.058
2031,3,7.777
2031,4,9.2
2031,5,11.73
2031,6,13.424
2031,7,15.697
2031,8,15.874
2031,9,13.571
2031,10,12.224
2031,11,9.751
2031,12,8.746
2032,1,7.799
2032,2,8.623
2032,3,9.047
2032,4,10.43
2032,5,12.77
2032,6,15.437
2032,7,15.34
2032,8,15.389
2032,9,13.586
2032,10,11.035
2032,11,9.569
2032,12,7.83
2033,1,7.241
2033,2,7.317
2033,3,7.802
2033,4,9.113
2033,5,11.228
2033,6,13.262
2033,7,14.8
2033,8,15.164
2033,9,13.325
2033,10,10.919
2033,11,9.02
2033,12,7.86
2034,1,7.247
2034,2,7.058
2034,3,7.777
2034,4,9.2
2034,5,11.73
2034,6,13.424
2034,7,15.697
2034,8,15.874
2034,9,13.571
2034,10,12.224
2034,11,9.751
2034,12,8.746
2035,1,7.799
2035,2,8.623
2035,3,9.047
2035,4,10.43
2035,5,12.77
2035,6,15.437
2035,7,15.34
2035,8,15.389
2035,9,13.586
2035,10,11.035
2035,11,9.569
2035,12,7.83
2036,1,7.241
2036,2,7.317
2036,3,7.802
2036,4,9.113
2036,5,11.228
2036,6,13.262
2036,7,14.8
2036,8,15.164
2036,9,13.325
2036,10,10.919
2036,11,9.02
2036,12,7.86
2037,1,7.247
2037,2,7.058
2037,3,7.777
2037,4,9.2
2037,5,11.73
2037,6,13.424
2037,7,15.697
2037,8,15.874
2037,9,13.571
2037,10,12.224
2037,11,9.751
2037,12,8.746
2038,1,7.799
2038,2,8.623
2038,3,9.047
2038,4,10.43
2038,5,12.77
2038,6,15.437
2038,7,15.34
2038,8,15.389
2038,9,13.586
2038,10,11.035
2038,11,9.569
2038,12,7.83
2039,1,7.241
2039,2,7.317
2039,3,7.802
2039,4,9.113
2039,5,11.228
2039,6,13.262
2039,7,14.8
2039,8,15.164
2039,9,13.325
2039,10,10.919
2039,11,9.02
2039,12,7.86
2040,1,7.247
2040,2,7.058
2040,3,7.777
2040,4,9.2
2040,5,11.73
2040,6,13.424
2040,7,15.697
2040,8,15.874
2040,9,13.571
2040,10,12.224
2040,11,9.751
2040,12,8.746
2041,1,7.799
2041,2,8.623
2041,3,9.047
2041,4,10.43
2041,5,12.77
2041,6,15.437
2041,7,15.34
2041,8,15.389
2041,9,13.586
2041,10,11.035
2041,11,9.569
2041,12,7.83
2042,1,7.241
2042,2,7.317
2042,3,7.802
2042,4,9.113
2042,5,11.228
2042,6,13.262
2042,7,14.8
2042,8,15.164
2042,9,13.325
2042,10,10.919
2042,11,9.02
2042,12,7.86
2043,1,7.247
2043,2,7.058
2043,3,7.777
2043,4,9.2
2043,5,11.73
2043,6,13.424
2043,7,15.697
2043,8,15.874
2043,9,13.571
2043,10,12.224
2043,11,9.751
2043,12,8.746
2044,1,7.799
2044,2,8.623
2044,3,9.047
2044,4,10.43
2044,5,12.77
2044,6,15.437
2044,7,15.34
2044,8,15.389
2044,9,13.586
2044,10,11.035
2044,11,9.569
2044,12,7.83
2045,1,7.241
2045,2,7.317
2045,3,7.802
2045,4,9.113
2045,5,11.228
2045,6,13.262
2045,7,14.8
2045,8,15.164
2045,9,13.325
2045,10,10.919
2045,11,9.02
2045,12,7.86
2046,1,7.247
2046,2,7.058
2046,3,7.777
2046,4,9.2
2046,5,11.73
2046,6,13.424
2046,7,15.697
2046,8,15.874
2046,9,13.571
2046,10,12.224
2046,11,9.751
2046,12,8.746
2047,1,7.799
2047,2,8.623
2047,3,9.047
2047,4,10.43
2047,5,12.77
2047,6,15.437
2047,7,15.34
2047,8,15.389
2047,9,13.586
2047,10,11.035
2047,11,9.569
2047,12,7.83
2048,1,7.241
2048,2,7.317
2048,3,7.802
2048,4,9.113
2048,5,11.228
2048,6,13.262
2048,7,14.8
2048,8,15.164
2048,9,13.325
2048,10,10.919
2048,11,9.02
2048,12,7.86
2049,1,7.247
2049,2,7.058
2049,3,7.777
2049,4,9.2
2049,5,11.73
2049,6,13.424
2049,7,15.697
2049,8,15.874
2049,9,13.571
2049,10,12.224
2049,11,9.751
2049,12,8.746
2050,1,7.799
2050,2,8.623
2050,3,9.047
2050,4,10.43
2050,5,12.77
2050,6,15.437
2050,7,15.34
2050,8,15.389
2050,9,13.586
2050,10,11.035
2050,11,9.569
2050,12,7.83
