year,month,sst
2012,1,9.319
2012,2,9.243
2012,3,8.992
2012,4,10.509
2012,5,10.736
2012,6,12.639
2012,7,12.79
2012,8,11.477
2012,9,10.58
2012,10,11.233
2012,11,12.48
2012,12,11.566
2013,1,9.902
2013,2,9.277
2013,3,9.677
2013,4,9.99
2013,5,10.788
2013,6,12.788
2013,7,10.289
2013,8,11.405
2013,9,14.461
2013,10,11.796
2013,11,10.991
2013,12,8.838
2014,1,9.374
2014,2,9.987
2014,3,11.082
2014,4,11.076
2014,5,13.183
2014,6,11.397
2014,7,11.437
2014,8,11.83
2014,9,13.449
2014,10,14.907
2014,11,14.214
2014,12,14.119
2015,1,12.538
2015,2,12.244
2015,3,12.035
2015,4,11.864
2015,5,10.792
2015,6,10.461
2015,7,13.146
2015,8,13.614
2015,9,14.166
2015,10,13.092
2015,11,12.815
2015,12,12.078
2016,1,11.145
2016,2,11.319
2016,3,11.793
2016,4,12.56
2016,5,12.094
2016,6,12.643
2016,7,12.001
2016,8,10.76
2016,9,12.52
2016,10,12.614
2016,11,14.423
2016,12,11.76
2017,1,10.116
2017,2,10.612
2017,3,10.672
2017,4,11.09
2017,5,11.749
2017,6,12.388
2017,7,10.672
2017,8,10.983
2017,9,11.614
2017,10,12.205
2017,11,11.525
2017,12,11.185
2018,1,11.276
2018,2,10.349
2018,3,9.968
2018,4,10.831
2018,5,11.739
2018,6,12.795
2018,7,10.885
2018,8,12.046
2018,9,11.682
2018,10,12.119
2018,11,11.606
2018,12,11.585
2019,1,11.328
2019,2,10.931
2019,3,10.498
2019,4,11.443
2019,5,11.185
2019,6,11.215
2019,7,14.629
2019,8,14.656
2019,9,16.262
2019,10,13.059
2019,11,10.072
2019,12,10.973
2020,1,10.692
2020,2,10.172
2020,3,9.575
2020,4,10.522
2020,5,12.657
2020,6,11.587
2020,7,10.809
2020,8,10.832
2020,9,12.436
2020,10,13.524
2020,11,11.989
2020,12,10.384
2021,1,10.344
2021,2,10.561
2021,3,9.59
2021,4,9.533
2021,5,10.134
2021,6,12.444
2021,7,10.529
2021,8,11.007
2021,9,11.672
2021,10,12.536
2021,11,12.174
2021,12,10.969
2022,1,10.117
2022,2,9.733
2022,3,9.836
2022,4,10.393
2022,5,11.257
2022,6,12.374
2022,7,11.333
