year,month,sst
2012,1,3.738
2012,2,3.511
2012,3,3.143
2012,4,3.493
2012,5,3.725
2012,6,4.687
2012,7,6.811
2012,8,7.818
2012,9,6.947
2012,10,6.279
2012,11,5.585
2012,12,4.73
2013,1,3.746
2013,2,3.425
2013,3,3.389
2013,4,3.523
2013,5,4.421
2013,6,5.582
2013,7,7.508
2013,8,9.355
2013,9,8.225
2013,10,6.86
2013,11,6.202
2013,12,4.788
2014,1,4.422
2014,2,4.088
2014,3,4.037
2014,4,4.398
2014,5,5.07
2014,6,6.393
2014,7,8.41
2014,8,9.455
2014,9,8.855
2014,10,7.659
2014,11,6.118
2014,12,5.109
2015,1,5.105
2015,2,4.581
2015,3,4.646
2015,4,4.534
2015,5,4.955
2015,6,5.752
2015,7,7.107
2015,8,8.331
2015,9,9.283
2015,10,7.691
2015,11,5.996
2015,12,4.687
2016,1,3.881
2016,2,4.091
2016,3,4.534
2016,4,4.826
2016,5,5.486
2016,6,6.4
2016,7,8.48
2016,8,9.284
2016,9,9.519
2016,10,7.923
2016,11,6.087
2016,12,5.327
2017,1,4.266
2017,2,4.224
2017,3,4.338
2017,4,4.284
2017,5,4.698
2017,6,5.703
2017,7,7.742
2017,8,8.619
2017,9,8.501
2017,10,7.465
2017,11,6.454
2017,12,4.985
2018,1,4.634
2018,2,4.482
2018,3,4.173
2018,4,4.139
2018,5,4.751
2018,6,5.501
2018,7,6.953
2018,8,8.175
2018,9,9.152
2018,10,7.802
2018,11,6.055
2018,12,5.055
2019,1,4.636
2019,2,4.619
2019,3,4.288
2019,4,4.403
2019,5,5.398
2019,6,6.198
2019,7,7.671
2019,8,9.764
2019,9,8.786
2019,10,7.488
2019,11,6.147
2019,12,5.141
2020,1,4.628
2020,2,4.331
2020,3,4.264
2020,4,4.506
2020,5,5.135
2020,6,6.625
2020,7,7.122
2020,8,8.377
2020,9,8.553
2020,10,7.045
2020,11,5.949
2020,12,4.714
2021,1,4.013
2021,2,3.981
2021,3,3.807
2021,4,4.135
2021,5,4.662
2021,6,6.204
2021,7,7.991
2021,8,9.805
2021,9,9.178
2021,10,6.601
2021,11,5.58
2021,12,4.911
2022,1,4.393
2022,2,4.091
2022,3,4.146
2022,4,4.222
2022,5,5.033
2022,6,5.663
2022,7,6.712
2022,8,7.488
2022,9,7.982
2022,10,7.392
2022,11,6.089
2022,12,5.465
2023,1,4.568
2023,2,4.45
2023,3,4.001
2023,4,4.111
2023,5,4.547
2023,6,5.15
2023,7,6.447
2023,8,7.679
2023,9,8.214
2023,10,7.336
2023,11,6.184
2023,12,5.212
2024,1,4.436
2024,2,4.137
