year,month,sst
2012,1,9.026
2012,2,8.978
2012,3,8.622
2012,4,10.368
2012,5,10.998
2012,6,13.796
2012,7,14.136
2012,8,11.631
2012,9,11.267
2012,10,10.914
2012,11,12.236
2012,12,11.458
2013,1,9.767
2013,2,9.2
2013,3,9.176
2013,4,10.077
2013,5,11.337
2013,6,13.535
2013,7,10.653
2013,8,12.206
2013,9,14.899
2013,10,13.479
2013,11,11.019
2013,12,8.945
2014,1,8.804
2014,2,9.502
2014,3,10.75
2014,4,10.947
2014,5,13.319
2014,6,12.468
2014,7,11.92
2014,8,10.637
2014,9,14.01
2014,10,15.257
2014,11,13.907
2014,12,13.495
2015,1,12.249
2015,2,12.279
2015,3,12.04
2015,4,11.707
2015,5,10.973
2015,6,11.083
2015,7,14.285
2015,8,13.389
2015,9,14.203
2015,10,13.451
2015,11,12.951
2015,12,12.155
2016,1,11.035
2016,2,11.475
2016,3,11.72
2016,4,12.53
2016,5,12.53
2016,6,13.101
2016,7,13.747
2016,8,11.288
2016,9,13.053
2016,10,12.766
2016,11,13.998
2016,12,11.833
2017,1,9.842
2017,2,10.388
2017,3,10.467
2017,4,10.882
2017,5,11.959
2017,6,13.377
2017,7,11.569
2017,8,11.144
2017,9,12.364
2017,10,12.389
2017,11,11.544
2017,12,10.934
2018,1,11.008
2018,2,10.171
2018,3,9.864
2018,4,10.604
2018,5,12.033
2018,6,13.718
2018,7,12.125
2018,8,13.209
2018,9,13.127
2018,10,12.018
2018,11,11.62
2018,12,11.123
2019,1,11.127
2019,2,10.493
2019,3,9.923
2019,4,11.358
2019,5,11.688
2019,6,11.338
2019,7,15.226
2019,8,14.15
2019,9,16.034
2019,10,12.779
2019,11,9.858
2019,12,10.348
2020,1,10.666
2020,2,9.91
2020,3,9.268
2020,4,10.333
2020,5,12.893
2020,6,13.123
2020,7,12.302
2020,8,12.483
2020,9,10.946
2020,10,13.859
2020,11,11.389
2020,12,10.749
2021,1,10.205
2021,2,9.756
2021,3,9.244
2021,4,9.734
2021,5,10.74
2021,6,13.486
2021,7,11.572
2021,8,12.086
2021,9,12.106
2021,10,12.601
2021,11,11.936
2021,12,10.915
2022,1,10.074
2022,2,9.528
2022,3,9.644
2022,4,10.262
2022,5,11.408
2022,6,12.513
2022,7,11.7
2022,8,12.522
2022,9,11.946
2022,10,11.886
2022,11,10.894
2022,12,9.943
2023,1,10.278
2023,2,9.507
2023,3,8.845
2023,4,9.696
2023,5,11.298
2023,6,10.009
2023,7,10.955
2023,8,12.215
2023,9,12.63
2023,10,13.033
2023,11,12.285
2023,12,11.614
2024,1,11.357
2024,2,11.338
2024,3,11.296
2024,4,11.046
2024,5,10.926
2024,6,10.867
2024,7,10.243
2024,8,12.89
2024,9,12.923
2024,10,11.033
2024,11,11.504
2024,12,10.706
2025,1,10.041
2025,2,9.693
2025,3,9.804
2025,4,10.38
2025,5,11.631
2025,6,13.207
2025,7,12.769
2025,8,12.442
2025,9,12.138
2025,10,11.828
2025,11,11.46
2025,12,10.558
2026,1,10.041
2026,2,9.693
2026,3,9.804
2026,4,10.38
2026,5,11.631
2026,6,13.207
2026,7,12.769
2026,8,12.442
2026,9,12.138
2026,10,11.828
2026,11,11.46
2026,12,10.558
2027,1,10.041
2027,2,9.693
2027,3,9.804
2027,4,10.38
2027,5,11.631
2027,6,13.207
2027,7,12.769
2027,8,12.442
2027,9,12.138
2027,10,11.828
2027,11,11.46
2027,12,10.558
2028,1,9.423
2028,2,9.597
2028,3,10.277
2028,4,10.663
2028,5,12.475
2028,6,12.838
2028,7,14.285
2028,8,13.389
2028,9,14.203
2028,10,13.451
2028,11,12.951
2028,12,12.155
2029,1,12.249
2029,2,12.279
2029,3,12.04
2029,4,11.707
2029,5,10.973
2029,6,11.083
2029,7,13.258
2029,8,11.865
2029,9,12.596
2029,10,12.297
2029,11,12.729
2029,12,11.196
2030,1,10.041
2030,2,9.693
2030,3,9.804
2030,4,10.38
2030,5,11.631
2030,6,13.207
2030,7,12.769
2030,8,12.442
2030,9,12.138
2030,10,11.828
2030,11,11.46
2030,12,10.558
2031,1,9.423
2031,2,9.597
2031,3,10.277
2031,4,10.663
2031,5,12.475
2031,6,12.838
2031,7,14.285
2031,8,13.389
2031,9,14.203
2031,10,13.451
2031,11,12.951
2031,12,12.155
2032,1,12.249
2032,2,12.279
2032,3,12.04
2032,4,11.707
2032,5,10.973
2032,6,11.083
2032,7,13.258
2032,8,11.865
2032,9,12.596
2032,10,12.297
2032,11,12.729
2032,12,11.196
2033,1,10.041
2033,2,9.693
2033,3,9.804
2033,4,10.38
2033,5,11.631
2033,6,13.207
2033,7,12.769
2033,8,12.442
2033,9,12.138
2033,10,11.828
2033,11,11.46
2033,12,10.558
2034,1,9.423
2034,2,9.597
2034,3,10.277
2034,4,10.663
2034,5,12.475
2034,6,12.838
2034,7,14.285
2034,8,13.389
2034,9,14.203
2034,10,13.451
2034,11,12.951
2034,12,12.155
2035,1,12.249
2035,2,12.279
2035,3,12.04
2035,4,11.707
2035,5,10.973
2035,6,11.083
2035,7,13.258
2035,8,11.865
2035,9,12.596
2035,10,12.297
2035,11,12.729
2035,12,11.196
2036,1,10.041
2036,2,9.693
2036,3,9.804
2036,4,10.38
2036,5,11.631
2036,6,13.207
2036,7,12.769
2036,8,12.442
2036,9,12.138
2036,10,11.828
2036,11,11.46
2036,12,10.558
2037,1,9.423
2037,2,9.597
2037,3,10.277
2037,4,10.663
2037,5,12.475
2037,6,12.838
2037,7,14.285
2037,8,13.389
2037,9,14.203
2037,10,13.451
2037,11,12.951
2037,12,12.155
2038,1,12.249
2038,2,12.279
2038,3,12.04
2038,4,11.707
2038,5,10.973
2038,6,11.083
2038,7,13.258
2038,8,11.865
2038,9,12.596
2038,10,12.297
2038,11,12.729
2038,12,11.196
2039,1,10.041
2039,2,9.693
2039,3,9.804
2039,4,10.38
2039,5,11.631
2039,6,13.207
2039,7,12.769
2039,8,12.442
2039,9,12.138
2039,10,11.828
2039,11,11.46
2039,12,10.558
2040,1,9.423
2040,2,9.597
2040,3,10.277
2040,4,10.663
2040,5,12.475
2040,6,12.838
2040,7,14.285
2040,8,13.389
2040,9,14.203
2040,10,13.451
2040,11,12.951
2040,12,12.155
2041,1,12.249
2041,2,12.279
2041,3,12.04
2041,4,11.707
2041,5,10.973
2041,6,11.083
2041,7,13.258
2041,8,11.865
2041,9,12.596
2041,10,12.297
2041,11,12.729
2041,12,11.196
2042,1,10.041
2042,2,9.693
2042,3,9.804
2042,4,10.38
2042,5,11.631
2042,6,13.207
2042,7,12.769
2042,8,12.442
2042,9,12.138
2042,10,11.828
2042,11,11.46
2042,12,10.558
2043,1,9.423
2043,2,9.597
2043,3,10.277
2043,4,10.663
2043,5,12.475
2043,6,12.838
2043,7,14.285
2043,8,13.389
2043,9,14.203
2043,10,13.451
2043,11,12.951
2043,12,12.155
2044,1,12.249
2044,2,12.279
2044,3,12.04
2044,4,11.707
2044,5,10.973
2044,6,11.083
2044,7,13.258
2044,8,11.865
2044,9,12.596
2044,10,12.297
2044,11,12.729
2044,12,11.196
2045,1,10.041
2045,2,9.693
2045,3,9.804
2045,4,10.38
2045,5,11.631
2045,6,13.207
2045,7,12.769
2045,8,12.442
2045,9,12.138
2045,10,11.828
2045,11,11.46
2045,12,10.558
2046,1,9.423
2046,2,9.597
2046,3,10.277
2046,4,10.663
2046,5,12.475
2046,6,12.838
2046,7,14.285
2046,8,13.389
2046,9,14.203
2046,10,13.451
2046,11,12.951
2046,12,12.155
2047,1,12.249
2047,2,12.279
2047,3,12.04
2047,4,11.707
2047,5,10.973
2047,6,11.083
2047,7,13.258
2047,8,11.865
2047,9,12.596
2047,10,12.297
2047,11,12.729
2047,12,11.196
2048,1,10.041
2048,2,9.693
2048,3,9.804
2048,4,10.38
2048,5,11.631
2048,6,13.207
2048,7,12.769
2048,8,12.442
2048,9,12.138
2048,10,11.828
2048,11,11.46
2048,12,10.558
2049,1,9.423
2049,2,9.597
2049,3,10.277
2049,4,10.663
2049,5,12.475
2049,6,12.838
2049,7,14.285
2049,8,13.389
2049,9,14.203
2049,10,13.451
2049,11,12.951
2049,12,12.155
2050,1,12.249
2050,2,12.279
2050,3,12.04
2050,4,11.707
2050,5,10.973
2050,6,11.083
2050,7,13.258
2050,8,11.865
