year,month,sst
2012,1,5.86
2012,2,5.064
2012,3,5.221
2012,4,6.369
2012,5,7.146
2012,6,9.284
2012,7,11.502
2012,8,12.788
2012,9,11.893
2012,10,9.661
2012,11,7.886
2012,12,6.635
2013,1,5.993
2013,2,6.039
2013,3,5.205
2013,4,5.788
2013,5,7.328
2013,6,11.159
2013,7,14.105
2013,8,14.977
2013,9,13.206
2013,10,11.13
2013,11,8.942
2013,12,6.995
2014,1,6.461
2014,2,5.77
2014,3,5.462
2014,4,5.608
2014,5,8.187
2014,6,10.153
2014,7,12.679
2014,8,14.351
2014,9,13.458
2014,10,10.628
2014,11,9.667
2014,12,8.204
2015,1,7.325
2015,2,6.71
2015,3,6.881
2015,4,7.79
2015,5,9.492
2015,6,11.186
2015,7,12.941
2015,8,14.23
2015,9,12.493
2015,10,10.255
2015,11,9.037
2015,12,7.589
2016,1,6.805
2016,2,6.756
2016,3,7.076
2016,4,7.769
2016,5,9.502
2016,6,11.667
2016,7,13.811
2016,8,13.878
2016,9,13.278
2016,10,10.796
2016,11,9.659
2016,12,8.48
2017,1,7.138
2017,2,6.069
2017,3,5.397
2017,4,6.286
2017,5,8.007
2017,6,10.36
2017,7,12.443
2017,8,14.345
2017,9,12.694
2017,10,10.792
2017,11,7.844
2017,12,7.218
2018,1,6.559
2018,2,5.929
2018,3,5.761
2018,4,6.022
2018,5,8.013
2018,6,10.708
2018,7,12.443
2018,8,13.121
2018,9,13.134
2018,10,11.002
2018,11,9.86
2018,12,8.685
2019,1,7.284
2019,2,6.55
2019,3,6.47
2019,4,6.989
2019,5,8.691
2019,6,11.725
2019,7,13.759
2019,8,14.323
2019,9,12.483
2019,10,10.325
2019,11,8.778
2019,12,7.875
2020,1,6.245
2020,2,4.793
2020,3,5.285
2020,4,5.63
2020,5,8.061
2020,6,10.726
2020,7,13.165
2020,8,13.449
2020,9,12.559
2020,10,10.452
2020,11,8.546
2020,12,7.395
2021,1,6.887
2021,2,5.596
2021,3,5.486
2021,4,5.905
2021,5,7.798
2021,6,10.627
2021,7,12.806
2021,8,13.761
2021,9,13.211
2021,10,9.947
2021,11,7.91
2021,12,6.643
2022,1,5.48
2022,2,5.12
2022,3,5.339
2022,4,5.748
2022,5,7.691
2022,6,10.566
2022,7,11.694
2022,8,12.892
2022,9,12.868
2022,10,10.778
2022,11,8.134
2022,12,6.409
2023,1,5.705
2023,2,5.507
2023,3,5.036
2023,4,5.552
2023,5,7.523
2023,6,9.294
2023,7,10.973
2023,8,12.988
2023,9,12.503
2023,10,9.99
2023,11,8.343
2023,12,7.79
2024,1,6.44
2024,2,5.88
2024,3,5.922
2024,4,6.648
2024,5,7.956
2024,6,9.697
2024,7,11.463
2024,8,11.805
2024,9,11.795
2024,10,10.061
2024,11,8.174
2024,12,7.082
2025,1,5.9
2025,2,5.396
2025,3,5.126
2025,4,5.805
2025,5,7.578
2025,6,10.133
2025,7,12.295
2025,8,13.252
2025,9,12.193
2025,10,10.022
2025,11,8.153
2025,12,6.988
2026,1,5.9
2026,2,5.396
2026,3,5.126
2026,4,5.805
2026,5,7.578
2026,6,10.133
2026,7,12.295
2026,8,13.252
2026,9,12.193
2026,10,10.022
2026,11,8.153
2026,12,6.988
2027,1,5.9
2027,2,5.396
2027,3,5.126
2027,4,5.805
2027,5,7.578
2027,6,10.133
2027,7,12.295
2027,8,13.252
2027,9,12.193
2027,10,10.022
2027,11,8.153
2027,12,6.988
2028,1,6.18
2028,2,5.583
2028,3,5.294
2028,4,5.706
2028,5,7.882
2028,6,10.143
2028,7,12.941
2028,8,14.23
2028,9,12.493
2028,10,10.255
2028,11,9.037
2028,12,7.589
2029,1,7.325
2029,2,6.71
2029,3,6.881
2029,4,7.79
2029,5,9.492
2029,6,11.186
2029,7,13.053
2029,8,13.565
2029,9,12.736
2029,10,10.409
2029,11,8.906
2029,12,7.734
2030,1,5.9
2030,2,5.396
2030,3,5.126
2030,4,5.805
2030,5,7.578
2030,6,10.133
2030,7,12.295
2030,8,13.252
2030,9,12.193
2030,10,10.022
2030,11,8.153
2030,12,6.988
2031,1,6.18
2031,2,5.583
2031,3,5.294
2031,4,5.706
2031,5,7.882
2031,6,10.143
2031,7,12.941
2031,8,14.23
2031,9,12.493
2031,10,10.255
2031,11,9.037
2031,12,7.589
2032,1,7.325
2032,2,6.71
2032,3,6.881
2032,4,7.79
2032,5,9.492
2032,6,11.186
2032,7,13.053
2032,8,13.565
2032,9,12.736
2032,10,10.409
2032,11,8.906
2032,12,7.734
2033,1,5.9
2033,2,5.396
2033,3,5.126
2033,4,5.805
2033,5,7.578
2033,6,10.133
2033,7,12.295
2033,8,13.252
2033,9,12.193
2033,10,10.022
2033,11,8.153
2033,12,6.988
2034,1,6.18
2034,2,5.583
2034,3,5.294
2034,4,5.706
2034,5,7.882
2034,6,10.143
2034,7,12.941
2034,8,14.23
2034,9,12.493
2034,10,10.255
2034,11,9.037
2034,12,7.589
2035,1,7.325
2035,2,6.71
2035,3,6.881
2035,4,7.79
2035,5,9.492
2035,6,11.186
2035,7,13.053
2035,8,13.565
2035,9,12.736
2035,10,10.409
2035,11,8.906
2035,12,7.734
2036,1,5.9
2036,2,5.396
2036,3,5.126
2036,4,5.805
2036,5,7.578
2036,6,10.133
2036,7,12.295
2036,8,13.252
2036,9,12.193
2036,10,10.022
2036,11,8.153
2036,12,6.988
2037,1,6.18
2037,2,5.583
2037,3,5.294
2037,4,5.706
2037,5,7.882
2037,6,10.143
2037,7,12.941
2037,8,14.23
2037,9,12.493
2037,10,10.255
2037,11,9.037
2037,12,7.589
2038,1,7.325
2038,2,6.71
2038,3,6.881
2038,4,7.79
2038,5,9.492
2038,6,11.186
2038,7,13.053
2038,8,13.565
2038,9,12.736
2038,10,10.409
2038,11,8.906
2038,12,7.734
2039,1,5.9
2039,2,5.396
2039,3,5.126
2039,4,5.805
2039,5,7.578
2039,6,10.133
2039,7,12.295
2039,8,13.252
2039,9,12.193
2039,10,10.022
2039,11,8.153
2039,12,6.988
2040,1,6.18
2040,2,5.583
2040,3,5.294
2040,4,5.706
2040,5,7.882
2040,6,10.143
2040,7,12.941
2040,8,14.23
2040,9,12.493
2040,10,10.255
2040,11,9.037
2040,12,7.589
2041,1,7.325
2041,2,6.71
2041,3,6.881
2041,4,7.79
2041,5,9.492
2041,6,11.186
2041,7,13.053
2041,8,13.565
2041,9,12.736
2041,10,10.409
2041,11,8.906
2041,12,7.734
2042,1,5.9
2042,2,5.396
2042,3,5.126
2042,4,5.805
2042,5,7.578
2042,6,10.133
2042,7,12.295
2042,8,13.252
2042,9,12.193
2042,10,10.022
2042,11,8.153
2042,12,6.988
2043,1,6.18
2043,2,5.583
2043,3,5.294
2043,4,5.706
2043,5,7.882
2043,6,10.143
2043,7,12.941
2043,8,14.23
2043,9,12.493
2043,10,10.255
2043,11,9.037
2043,12,7.589
2044,1,7.325
2044,2,6.71
2044,3,6.881
2044,4,7.79
2044,5,9.492
2044,6,11.186
2044,7,13.053
2044,8,13.565
2044,9,12.736
2044,10,10.409
2044,11,8.906
2044,12,7.734
2045,1,5.9
2045,2,5.396
2045,3,5.126
2045,4,5.805
2045,5,7.578
2045,6,10.133
2045,7,12.295
2045,8,13.252
2045,9,12.193
2045,10,10.022
2045,11,8.153
2045,12,6.988
2046,1,6.18
2046,2,5.583
2046,3,5.294
2046,4,5.706
2046,5,7.882
2046,6,10.143
2046,7,12.941
2046,8,14.23
2046,9,12.493
2046,10,10.255
2046,11,9.037
2046,12,7.589
2047,1,7.325
2047,2,6.71
2047,3,6.881
2047,4,7.79
2047,5,9.492
2047,6,11.186
2047,7,13.053
2047,8,13.565
2047,9,12.736
2047,10,10.409
2047,11,8.906
2047,12,7.734
2048,1,5.9
2048,2,5.396
2048,3,5.126
2048,4,5.805
2048,5,7.578
2048,6,10.133
2048,7,12.295
2048,8,13.252
2048,9,12.193
2048,10,10.022
2048,11,8.153
2048,12,6.988
2049,1,6.18
2049,2,5.583
2049,3,5.294
2049,4,5.706
2049,5,7.882
2049,6,10.143
2049,7,12.941
2049,8,14.23
2049,9,12.493
2049,10,10.255
2049,11,9.037
2049,12,7.589
2050,1,7.325
2050,2,6.71
2050,3,6.881
2050,4,7.79
2050,5,9.492
2050,6,11.186
2050,7,13.053
2050,8,13.565
2050,9,12.736
2050,10,10.409
2050,11,8.906
2050,12,7.734
