year,month,sst
2012,1,7.045
2012,2,6.509
2012,3,6.667
2012,4,7.315
2012,5,7.697
2012,6,9.68
2012,7,11.071
2012,8,13.14
2012,9,10.954
2012,10,9.549
2012,11,8.767
2012,12,8.517
2013,1,8.213
2013,2,7.57
2013,3,7.157
2013,4,7.818
2013,5,9.078
2013,6,11.706
2013,7,12.639
2013,8,12.787
2013,9,12.987
2013,10,11.396
2013,11,9.784
2013,12,7.602
2014,1,7.426
2014,2,6.287
2014,3,6.451
2014,4,6.823
2014,5,9.008
2014,6,10.869
2014,7,12.565
2014,8,13.537
2014,9,11.718
2014,10,11.709
2014,11,11.166
2014,12,10.216
2015,1,9.575
2015,2,8.795
2015,3,8.745
2015,4,9.265
2015,5,10.143
2015,6,12.104
2015,7,12.495
2015,8,13.789
2015,9,12.465
2015,10,11.47
2015,11,10.724
2015,12,9.336
2016,1,8.558
2016,2,8.524
2016,3,8.371
2016,4,9.364
2016,5,10.75
2016,6,12.062
2016,7,13.289
2016,8,11.514
2016,9,12.019
2016,10,11.051
2016,11,10.518
2016,12,9.353
2017,1,7.812
2017,2,6.99
2017,3,6.888
2017,4,7.619
2017,5,9.28
2017,6,10.985
2017,7,13.266
2017,8,12.608
2017,9,13.038
2017,10,10.672
2017,11,8.366
2017,12,7.854
2018,1,7.603
2018,2,7.532
2018,3,7.233
2018,4,7.757
2018,5,10.201
2018,6,11.385
2018,7,13.014
2018,8,12.498
2018,9,12.783
2018,10,11.245
2018,11,10.287
2018,12,9.63
2019,1,10.149
2019,2,7.54
2019,3,7.482
2019,4,8.532
2019,5,10.066
2019,6,12.447
2019,7,15.364
2019,8,14.64
2019,9,13.98
2019,10,11.606
2019,11,10.439
2019,12,8.306
2020,1,7.658
2020,2,7.131
2020,3,7.106
2020,4,7.754
2020,5,9.781
2020,6,11.114
2020,7,12.63
2020,8,13.637
2020,9,13.019
2020,10,11.659
2020,11,9.377
2020,12,8.216
2021,1,7.963
2021,2,7.019
2021,3,7.169
2021,4,7.094
2021,5,8.541
2021,6,10.658
2021,7,13.377
2021,8,13.425
2021,9,11.737
2021,10,10.546
2021,11,9.266
2021,12,7.82
2022,1,6.762
2022,2,6.838
2022,3,7.055
2022,4,7.361
2022,5,8.486
2022,6,10.124
2022,7,12.023
2022,8,12.063
2022,9,12.177
2022,10,11.17
2022,11,8.588
