year,month,sst
2012,1,4.523
2012,2,3.993
2012,3,3.607
2012,4,5.54
2012,5,6.646
2012,6,9.417
2012,7,10.855
2012,8,12.491
2012,9,11.067
2012,10,8.586
2012,11,7.064
2012,12,5.425
2013,1,4.828
2013,2,5.133
2013,3,4.174
2013,4,4.62
2013,5,6.708
2013,6,13.109
2013,7,14.879
2013,8,13.964
2013,9,12.37
2013,10,10.548
2013,11,8.594
2013,12,6.104
2014,1,5.903
2014,2,4.389
2014,3,4.364
2014,4,5.109
2014,5,9.815
2014,6,11.142
2014,7,13.995
2014,8,13.884
2014,9,12.966
2014,10,9.926
2014,11,9.209
2014,12,8.093
2015,1,6.921
2015,2,5.818
2015,3,5.334
2015,4,6.421
2015,5,9.522
2015,6,12.501
2015,7,14.624
2015,8,15.168
2015,9,12.442
2015,10,10.348
2015,11,8.302
2015,12,7.199
2016,1,6.596
2016,2,6.065
2016,3,6.065
2016,4,7.073
2016,5,10.159
2016,6,13.491
2016,7,15.263
2016,8,14.195
2016,9,13.084
2016,10,10.043
2016,11,9.15
2016,12,7.2
2017,1,6.16
2017,2,5.322
2017,3,4.443
2017,4,5.977
2017,5,7.751
2017,6,11.575
2017,7,13.883
2017,8,14.191
2017,9,12.089
2017,10,10.195
2017,11,7.976
2017,12,6.557
2018,1,5.555
2018,2,4.286
2018,3,4.49
2018,4,5.469
2018,5,6.957
2018,6,10.954
2018,7,13.89
2018,8,13.606
2018,9,13.337
2018,10,10.561
2018,11,8.908
2018,12,8.665
2019,1,6.754
2019,2,5.727
2019,3,5.649
2019,4,6.409
2019,5,8.169
2019,6,12.447
2019,7,15.459
2019,8,15.923
2019,9,13.377
2019,10,10.688
2019,11,8.749
2019,12,7.459
2020,1,5.83
2020,2,4.784
2020,3,4.326
2020,4,5.448
2020,5,8.393
2020,6,11.783
2020,7,14.353
2020,8,14.311
2020,9,12.595
2020,10,10.397
2020,11,8.217
2020,12,6.865
2021,1,5.755
2021,2,4.95
2021,3,4.527
2021,4,5.45
2021,5,8.138
2021,6,10.435
2021,7,12.441
2021,8,13.418
2021,9,12.113
2021,10,9.849
2021,11,7.867
2021,12,5.978
2022,1,5.025
2022,2,4.133
2022,3,4.292
2022,4,5.74
2022,5,9.334
2022,6,13.849
2022,7,13.956
2022,8,13.127
2022,9,12.033
2022,10,9.762
2022,11,7.931
2022,12,6.279
2023,1,5.107
2023,2,4.169
2023,3,3.848
2023,4,5.039
2023,5,7.613
2023,6,10.74
2023,7,13.253
2023,8,13.669
2023,9,12.196
2023,10,9.492
2023,11,8.066
2023,12,7.159
2024,1,5.802
2024,2,4.775
2024,3,4.735
2024,4,6.03
2024,5,8.766
2024,6,11.518
2024,7,13.488
2024,8,13.931
2024,9,11.806
2024,10,9.385
2024,11,7.652
2024,12,6.488
2025,1,5.11
2025,2,4.493
2025,3,4.249
2025,4,5.073
2025,5,8.043
2025,6,11.214
2025,7,13.343
2025,8,13.427
2025,9,11.984
2025,10,9.818
2025,11,7.771
2025,12,6.403
2026,1,5.11
2026,2,4.493
2026,3,4.249
2026,4,5.073
2026,5,8.043
2026,6,11.214
2026,7,13.343
2026,8,13.427
2026,9,11.984
2026,10,9.818
2026,11,7.771
2026,12,6.403
2027,1,5.11
2027,2,4.493
2027,3,4.249
2027,4,5.073
2027,5,8.043
2027,6,11.214
2027,7,13.343
2027,8,13.427
2027,9,11.984
2027,10,9.818
2027,11,7.771
2027,12,6.403
2028,1,5.11
2028,2,4.493
2028,3,4.249
2028,4,5.073
2028,5,8.043
2028,6,11.214
2028,7,13.343
2028,8,13.427
2028,9,11.984
2028,10,9.818
2028,11,7.771
2028,12,6.403
2029,1,5.11
2029,2,4.493
2029,3,4.249
2029,4,5.073
2029,5,8.043
2029,6,11.214
2029,7,13.343
2029,8,13.427
2029,9,11.984
2029,10,9.818
2029,11,7.771
2029,12,6.403
2030,1,5.507
2030,2,4.441
2030,3,4.306
2030,4,5.091
2030,5,8.929
2030,6,11.178
2030,7,14.624
2030,8,15.168
2030,9,12.442
2030,10,10.348
2030,11,8.302
2030,12,7.199
2031,1,6.921
2031,2,5.818
2031,3,5.334
2031,4,6.421
2031,5,9.522
2031,6,12.501
2031,7,14.303
2031,8,13.811
2031,9,12.534
2031,10,9.931
2031,11,8.461
2031,12,6.801
2032,1,5.11
2032,2,4.493
2032,3,4.249
2032,4,5.073
2032,5,8.043
2032,6,11.214
2032,7,13.343
2032,8,13.427
2032,9,11.984
2032,10,9.818
2032,11,7.771
2032,12,6.403
2033,1,5.11
2033,2,4.493
2033,3,4.249
2033,4,5.073
2033,5,8.043
2033,6,11.214
2033,7,13.343
2033,8,13.427
2033,9,11.984
2033,10,9.818
2033,11,7.771
2033,12,6.403
2034,1,5.11
2034,2,4.493
2034,3,4.249
2034,4,5.073
2034,5,8.043
2034,6,11.214
2034,7,13.343
2034,8,13.427
2034,9,11.984
2034,10,9.818
2034,11,7.771
2034,12,6.403
2035,1,5.11
2035,2,4.493
2035,3,4.249
2035,4,5.073
2035,5,8.043
2035,6,11.214
2035,7,13.343
2035,8,13.427
2035,9,11.984
2035,10,9.818
2035,11,7.771
2035,12,6.403
2036,1,5.11
2036,2,4.493
2036,3,4.249
2036,4,5.073
2036,5,8.043
2036,6,11.214
2036,7,13.343
2036,8,13.427
2036,9,11.984
2036,10,9.818
2036,11,7.771
2036,12,6.403
2037,1,5.11
2037,2,4.493
2037,3,4.249
2037,4,5.073
2037,5,8.043
2037,6,11.214
2037,7,13.343
2037,8,13.427
2037,9,11.984
2037,10,9.818
2037,11,7.771
2037,12,6.403
2038,1,5.11
2038,2,4.493
2038,3,4.249
2038,4,5.073
2038,5,8.043
2038,6,11.214
2038,7,13.343
2038,8,13.427
2038,9,11.984
2038,10,9.818
2038,11,7.771
2038,12,6.403
2039,1,5.11
2039,2,4.493
2039,3,4.249
2039,4,5.073
2039,5,8.043
2039,6,11.214
2039,7,13.343
2039,8,13.427
2039,9,11.984
2039,10,9.818
2039,11,7.771
2039,12,6.403
2040,1,5.507
2040,2,4.441
2040,3,4.306
2040,4,5.091
2040,5,8.929
2040,6,11.178
2040,7,14.624
2040,8,15.168
2040,9,12.442
2040,10,10.348
2040,11,8.302
2040,12,7.199
2041,1,6.921
2041,2,5.818
2041,3,5.334
2041,4,6.421
2041,5,9.522
2041,6,12.501
2041,7,14.303
2041,8,13.811
2041,9,12.534
2041,10,9.931
2041,11,8.461
2041,12,6.801
2042,1,5.11
2042,2,4.493
2042,3,4.249
2042,4,5.073
2042,5,8.043
2042,6,11.214
2042,7,13.343
2042,8,13.427
2042,9,11.984
2042,10,9.818
2042,11,7.771
2042,12,6.403
2043,1,5.11
2043,2,4.493
2043,3,4.249
2043,4,5.073
2043,5,8.043
2043,6,11.214
2043,7,13.343
2043,8,13.427
2043,9,11.984
2043,10,9.818
2043,11,7.771
2043,12,6.403
2044,1,5.11
2044,2,4.493
2044,3,4.249
2044,4,5.073
2044,5,8.043
2044,6,11.214
2044,7,13.343
2044,8,13.427
2044,9,11.984
2044,10,9.818
2044,11,7.771
2044,12,6.403
2045,1,5.11
2045,2,4.493
2045,3,4.249
2045,4,5.073
2045,5,8.043
2045,6,11.214
2045,7,13.343
2045,8,13.427
2045,9,11.984
2045,10,9.818
2045,11,7.771
2045,12,6.403
2046,1,5.11
2046,2,4.493
2046,3,4.249
2046,4,5.073
2046,5,8.043
2046,6,11.214
2046,7,13.343
2046,8,13.427
2046,9,11.984
2046,10,9.818
2046,11,7.771
2046,12,6.403
2047,1,5.11
2047,2,4.493
2047,3,4.249
2047,4,5.073
2047,5,8.043
2047,6,11.214
2047,7,13.343
2047,8,13.427
2047,9,11.984
2047,10,9.818
2047,11,7.771
2047,12,6.403
2048,1,5.11
2048,2,4.493
2048,3,4.249
2048,4,5.073
2048,5,8.043
2048,6,11.214
2048,7,13.343
2048,8,13.427
2048,9,11.984
2048,10,9.818
2048,11,7.771
2048,12,6.403
2049,1,5.11
2049,2,4.493
2049,3,4.249
2049,4,5.073
2049,5,8.043
2049,6,11.214
2049,7,13.343
2049,8,13.427
2049,9,11.984
2049,10,9.818
2049,11,7.771
2049,12,6.403
2050,1,5.507
2050,2,4.441
2050,3,4.306
2050,4,5.091
2050,5,8.929
2050,6,11.178
2050,7,14.624
2050,8,15.168
2050,9,12.442
2050,10,10.348
2050,11,8.302
2050,12,7.199
