year,month,sst
2012,1,13.422
2012,2,12.48
2012,3,11.365
2012,4,11.383
2012,5,11.757
2012,6,13.345
2012,7,13.586
2012,8,14.69
2012,9,15.417
2012,10,16.357
2012,11,15.073
2012,12,14.291
2013,1,12.571
2013,2,11.887
2013,3,11.95
2013,4,12.03
2013,5,12.848
2013,6,13.248
2013,7,14.091
2013,8,14.386
2013,9,14.425
2013,10,15.022
2013,11,14.663
2013,12,13.956
2014,1,14.283
2014,2,13.011
2014,3,13.665
2014,4,12.182
2014,5,12.502
2014,6,13.52
2014,7,16.328
2014,8,16.456
2014,9,16.698
2014,10,18.17
2014,11,16.795
2014,12,16.86
2015,1,15.516
2015,2,15.464
2015,3,14.524
2015,4,12.792
2015,5,13.086
2015,6,13.471
2015,7,16.494
2015,8,17.21
2015,9,19.102
2015,10,18.885
2015,11,16.38
2015,12,15.641
2016,1,14.18
2016,2,14.094
2016,3,13.682
2016,4,12.802
2016,5,12.871
2016,6,12.974
2016,7,14.148
2016,8,15.038
2016,9,15.765
2016,10,15.526
2016,11,15.247
2016,12,13.256
2017,1,13.248
2017,2,13.54
2017,3,12.785
2017,4,11.944
2017,5,12.096
2017,6,12.995
2017,7,14.559
2017,8,15.606
2017,9,16.539
2017,10,15.382
2017,11,15.489
2017,12,14.512
2018,1,14.567
2018,2,13.416
2018,3,13.048
2018,4,12.002
2018,5,12.066
2018,6,13.035
2018,7,14.929
2018,8,16.261
2018,9,15.877
2018,10,16.974
2018,11,17.368
2018,12,14.788
2019,1,14.335
2019,2,13.72
2019,3,13.175
2019,4,13.17
2019,5,13.314
2019,6,14.128
2019,7,13.607
2019,8,14.418
2019,9,15.532
2019,10,15.04
2019,11,15.622
2019,12,14.784
2020,1,13.905
2020,2,13.839
2020,3,14.527
2020,4,12.836
2020,5,13.301
2020,6,14.044
2020,7,14.204
2020,8,14.239
2020,9,15.207
2020,10,16.831
2020,11,13.714
2020,12,13.039
2021,1,13.089
2021,2,12.286
2021,3,11.996
2021,4,11.318
2021,5,12.254
2021,6,13.81
2021,7,14.967
2021,8,15.251
2021,9,14.415
2021,10,14.567
2021,11,14.39
2021,12,13.691
2022,1,13.369
2022,2,13.419
2022,3,12.324
2022,4,11.565
2022,5,11.781
2022,6,13.929
2022,7,14.521
2022,8,15.033
2022,9,16.462
2022,10,15.109
2022,11,13.034
2022,12,13.959
2023,1,13.494
2023,2,12.431
2023,3,12.299
2023,4,11.189
2023,5,12.95
2023,6,14.452
2023,7,14.476
2023,8,16.19
2023,9,16.167
2023,10,15.3
2023,11,15.489
2023,12,15.42
2024,1,14.122
2024,2,14.21
2024,3,13.507
