year,month,sst
2012,1,16.062
2012,2,15.648
2012,3,14.174
2012,4,15.27
2012,5,15.775
2012,6,15.8
2012,7,17.112
2012,8,19.758
2012,9,20.438
2012,10,18.762
2012,11,17.194
2012,12,15.499
2013,1,14.058
2013,2,13.864
2013,3,14.039
2013,4,14.41
2013,5,16.176
2013,6,17.992
2013,7,18.778
2013,8,17.234
2013,9,18.232
2013,10,18.135
2013,11,17.673
2013,12,16.242
2014,1,16.39
2014,2,15.26
2014,3,16.002
2014,4,15.227
2014,5,16.979
2014,6,18.614
2014,7,18.999
2014,8,20.191
2014,9,21.316
2014,10,21.312
2014,11,19.383
2014,12,18.187
2015,1,16.946
2015,2,16.926
2015,3,17.061
2015,4,16.366
2015,5,16.162
2015,6,18.053
2015,7,19.399
2015,8,21.069
2015,9,22.801
2015,10,22.284
2015,11,20.839
2015,12,19.18
2016,1,16.217
2016,2,16.766
2016,3,16.526
2016,4,16.679
2016,5,17.118
2016,6,17.417
2016,7,20.611
2016,8,20.548
2016,9,18.609
2016,10,18.679
2016,11,18.362
2016,12,15.874
2017,1,15.729
2017,2,15.41
2017,3,15.705
2017,4,16.348
2017,5,16.668
2017,6,16.867
2017,7,20.391
2017,8,20.054
2017,9,20.33
2017,10,19.54
2017,11,17.363
2017,12,17.316
2018,1,16.826
2018,2,16.318
2018,3,15.0
2018,4,15.197
2018,5,15.833
2018,6,17.737
2018,7,19.734
2018,8,21.738
2018,9,20.158
2018,10,19.537
2018,11,19.322
2018,12,17.268
2019,1,15.809
2019,2,15.378
2019,3,15.071
2019,4,16.229
2019,5,16.536
2019,6,17.142
2019,7,18.439
2019,8,19.93
2019,9,20.249
2019,10,17.87
2019,11,18.203
2019,12,16.87
2020,1,15.627
2020,2,15.286
2020,3,16.349
2020,4,16.63
2020,5,16.914
2020,6,17.509
2020,7,20.279
2020,8,20.934
2020,9,21.364
2020,10,21.939
2020,11,18.698
2020,12,17.592
2021,1,16.657
2021,2,15.959
2021,3,15.801
2021,4,16.283
2021,5,17.218
2021,6,17.731
2021,7,20.771
2021,8,21.207
2021,9,21.229
2021,10,20.175
2021,11,16.065
2021,12,15.865
2022,1,15.487
2022,2,15.338
2022,3,14.925
2022,4,14.299
2022,5,14.597
2022,6,17.019
2022,7,17.502
2022,8,19.49
2022,9,20.417
2022,10,18.493
2022,11,17.1
2022,12,15.787
2023,1,15.617
2023,2,14.477
2023,3,14.003
2023,4,13.73
2023,5,14.61
2023,6,15.565
2023,7,17.485
2023,8,18.217
2023,9,18.167
2023,10,16.62
2023,11,17.34
2023,12,17.678
