year,month,sst
2012,1,3.645
2012,2,3.323
2012,3,3.062
2012,4,3.253
2012,5,3.749
2012,6,5.251
2012,7,6.394
2012,8,8.696
2012,9,7.981
2012,10,6.515
2012,11,5.389
2012,12,4.58
2013,1,3.542
2013,2,3.495
2013,3,3.369
2013,4,3.677
2013,5,4.483
2013,6,5.882
2013,7,8.181
2013,8,9.464
2013,9,9.241
2013,10,7.437
2013,11,5.956
2013,12,4.917
2014,1,4.279
2014,2,3.874
2014,3,3.955
2014,4,4.348
2014,5,5.396
2014,6,7.275
2014,7,8.365
2014,8,9.944
2014,9,10.165
2014,10,7.939
2014,11,6.35
2014,12,5.318
2015,1,4.985
2015,2,4.507
2015,3,4.502
2015,4,4.608
2015,5,5.195
2015,6,6.103
2015,7,7.129
2015,8,9.605
2015,9,10.596
2015,10,8.446
2015,11,6.273
2015,12,5.009
2016,1,4.015
2016,2,4.142
2016,3,4.486
2016,4,4.678
2016,5,5.61
2016,6,7.179
2016,7,8.903
2016,8,10.299
2016,9,9.787
2016,10,8.136
2016,11,6.36
2016,12,5.426
2017,1,4.348
2017,2,3.954
2017,3,4.224
2017,4,4.306
2017,5,4.411
2017,6,7.383
2017,7,11.505
2017,8,11.591
2017,9,9.711
2017,10,7.802
2017,11,6.635
2017,12,5.036
2018,1,4.585
2018,2,4.374
2018,3,4.022
2018,4,4.254
2018,5,4.573
2018,6,5.67
2018,7,7.204
2018,8,8.475
2018,9,9.442
2018,10,7.884
2018,11,6.237
2018,12,5.257
2019,1,4.62
2019,2,4.518
2019,3,4.147
2019,4,4.495
2019,5,5.58
2019,6,7.04
2019,7,8.752
2019,8,9.846
2019,9,9.258
2019,10,8.072
2019,11,6.31
2019,12,5.201
2020,1,4.419
2020,2,4.482
2020,3,4.264
2020,4,4.583
2020,5,5.432
2020,6,6.733
2020,7,7.898
2020,8,9.032
2020,9,9.479
2020,10,7.931
2020,11,5.992
2020,12,4.85
2021,1,4.028
2021,2,4.028
2021,3,3.976
2021,4,4.251
2021,5,4.864
2021,6,6.658
2021,7,8.455
2021,8,10.896
2021,9,10.091
2021,10,7.013
2021,11,5.657
2021,12,4.861
2022,1,4.224
2022,2,4.113
2022,3,4.159
2022,4,4.196
2022,5,5.21
2022,6,6.034
2022,7,7.418
2022,8,8.611
2022,9,9.121
2022,10,7.844
2022,11,6.435
2022,12,5.619
2023,1,4.57
2023,2,4.321
2023,3,3.947
2023,4,4.043
2023,5,4.482
2023,6,5.736
2023,7,7.523
2023,8,9.607
2023,9,9.305
2023,10,7.687
2023,11,6.365
2023,12,5.151
2024,1,4.321
2024,2,3.977
2024,3,3.611
2024,4,3.847
2024,5,4.179
2024,6,5.104
2024,7,6.816
2024,8,8.413
2024,9,8.016
2024,10,6.878
2024,11,5.524
2024,12,4.941
2025,1,3.866
2025,2,3.684
2025,3,3.623
2025,4,3.762
2025,5,4.568
2025,6,5.948
2025,7,7.407
2025,8,9.138
2025,9,8.665
2025,10,7.099
2025,11,5.594
2025,12,4.501
2026,1,3.866
2026,2,3.684
2026,3,3.623
2026,4,3.762
2026,5,4.568
2026,6,5.948
2026,7,7.407
2026,8,9.138
2026,9,8.665
2026,10,7.099
2026,11,5.594
2026,12,4.501
2027,1,3.866
2027,2,3.684
2027,3,3.623
2027,4,3.762
2027,5,4.568
2027,6,5.948
2027,7,7.407
2027,8,9.138
2027,9,8.665
2027,10,7.099
2027,11,5.594
2027,12,4.501
2028,1,3.969
2028,2,3.731
2028,3,3.706
2028,4,3.908
2028,5,4.775
2028,6,6.28
2028,7,7.268
2028,8,9.372
2028,9,9.63
2028,10,7.772
2028,11,5.933
2028,12,4.755
2029,1,4.426
2029,2,4.095
2029,3,4.063
2029,4,4.185
2029,5,4.881
2029,6,6.025
2029,7,7.781
2029,8,9.428
2029,9,8.945
2029,10,7.358
2029,11,5.785
2029,12,4.732
2030,1,3.866
2030,2,3.684
2030,3,3.623
2030,4,3.762
2030,5,4.568
2030,6,5.948
2030,7,7.407
2030,8,9.138
2030,9,8.665
2030,10,7.099
2030,11,5.594
2030,12,4.501
2031,1,3.866
2031,2,3.684
2031,3,3.623
2031,4,3.762
2031,5,4.568
2031,6,5.948
2031,7,7.407
2031,8,9.138
2031,9,8.665
2031,10,7.099
2031,11,5.594
2031,12,4.501
2032,1,3.866
2032,2,3.684
2032,3,3.623
2032,4,3.762
2032,5,4.568
2032,6,5.948
2032,7,7.407
2032,8,9.138
2032,9,8.665
2032,10,7.099
2032,11,5.594
2032,12,4.501
2033,1,4.021
2033,2,3.755
2033,3,3.748
2033,4,3.982
2033,5,4.878
2033,6,6.446
2033,7,7.198
2033,8,9.488
2033,9,10.113
2033,10,8.109
2033,11,6.103
2033,12,4.882
2034,1,4.705
2034,2,4.301
2034,3,4.282
2034,4,4.396
2034,5,5.038
2034,6,6.064
2034,7,7.968
2034,8,9.573
2034,9,9.085
2034,10,7.488
2034,11,5.881
2034,12,4.848
2035,1,3.866
2035,2,3.684
2035,3,3.623
2035,4,3.762
2035,5,4.568
2035,6,5.948
2035,7,7.407
2035,8,9.138
2035,9,8.665
2035,10,7.099
2035,11,5.594
2035,12,4.501
2036,1,3.866
2036,2,3.684
2036,3,3.623
2036,4,3.762
2036,5,4.568
2036,6,5.948
2036,7,7.407
2036,8,9.138
2036,9,8.665
2036,10,7.099
2036,11,5.594
2036,12,4.501
2037,1,3.866
2037,2,3.684
2037,3,3.623
2037,4,3.762
2037,5,4.568
2037,6,5.948
2037,7,7.407
2037,8,9.138
2037,9,8.665
2037,10,7.099
2037,11,5.594
2037,12,4.501
2038,1,4.073
2038,2,3.779
2038,3,3.789
2038,4,4.055
2038,5,4.982
2038,6,6.611
2038,7,7.129
2038,8,9.605
2038,9,10.596
2038,10,8.446
2038,11,6.273
2038,12,5.009
2039,1,4.985
2039,2,4.507
2039,3,4.502
2039,4,4.608
2039,5,5.195
2039,6,6.103
2039,7,8.155
2039,8,9.719
2039,9,9.226
2039,10,7.617
2039,11,5.977
2039,12,4.963
2040,1,3.866
2040,2,3.684
2040,3,3.623
2040,4,3.762
2040,5,4.568
2040,6,5.948
2040,7,7.407
2040,8,9.138
2040,9,8.665
2040,10,7.099
2040,11,5.594
2040,12,4.501
2041,1,3.866
2041,2,3.684
2041,3,3.623
2041,4,3.762
2041,5,4.568
2041,6,5.948
2041,7,7.407
2041,8,9.138
2041,9,8.665
2041,10,7.099
2041,11,5.594
2041,12,4.501
2042,1,3.866
2042,2,3.684
2042,3,3.623
2042,4,3.762
2042,5,4.568
2042,6,5.948
2042,7,7.407
2042,8,9.138
2042,9,8.665
2042,10,7.099
2042,11,5.594
2042,12,4.501
2043,1,4.124
2043,2,3.803
2043,3,3.831
2043,4,4.128
2043,5,5.085
2043,6,6.777
2043,7,7.06
2043,8,9.722
2043,9,11.079
2043,10,8.783
2043,11,6.443
2043,12,5.136
2044,1,5.265
2044,2,4.713
2044,3,4.722
2044,4,4.82
2044,5,5.352
2044,6,6.142
2044,7,8.342
2044,8,9.864
2044,9,9.366
2044,10,7.747
2044,11,6.073
2044,12,5.079
2045,1,3.866
2045,2,3.684
2045,3,3.623
2045,4,3.762
2045,5,4.568
2045,6,5.948
2045,7,7.407
2045,8,9.138
