year,month,sst
2012,1,1.095
2012,2,0.948
2012,3,0.463
2012,4,2.115
2012,5,4.752
2012,6,8.089
2012,7,10.172
2012,8,11.45
2012,9,10.669
2012,10,8.307
2012,11,4.487
2012,12,1.545
2013,1,2.043
2013,2,0.67
2013,3,0.633
2013,4,1.418
2013,5,3.988
2013,6,8.45
2013,7,11.284
2013,8,11.886
2013,9,11.14
2013,10,8.938
2013,11,5.974
2013,12,2.602
2014,1,2.051
2014,2,0.761
2014,3,0.838
2014,4,2.482
2014,5,5.947
2014,6,9.122
2014,7,11.826
2014,8,13.263
2014,9,12.385
2014,10,9.477
2014,11,6.712
2014,12,5.001
2015,1,3.353
2015,2,1.592
2015,3,2.319
2015,4,3.281
2015,5,6.239
2015,6,9.747
2015,7,11.929
2015,8,13.791
2015,9,11.83
2015,10,9.43
2015,11,6.207
2015,12,3.634
2016,1,3.274
2016,2,2.779
2016,3,2.784
2016,4,4.847
2016,5,7.235
2016,6,11.069
2016,7,13.334
2016,8,13.552
2016,9,12.971
2016,10,10.035
2016,11,6.678
2016,12,3.039
2017,1,1.227
2017,2,0.732
2017,3,-0.331
2017,4,1.338
2017,5,5.074
2017,6,8.511
2017,7,10.964
2017,8,12.709
2017,9,11.621
2017,10,9.602
2017,11,5.994
2017,12,3.519
2018,1,2.039
2018,2,0.503
2018,3,0.972
2018,4,2.264
2018,5,5.258
2018,6,9.41
2018,7,11.836
2018,8,12.712
2018,9,12.442
2018,10,9.96
2018,11,6.879
2018,12,4.606
2019,1,1.796
2019,2,1.506
2019,3,1.956
2019,4,4.128
2019,5,6.87
2019,6,10.132
2019,7,13.52
2019,8,14.404
2019,9,12.528
2019,10,9.792
2019,11,7.168
2019,12,4.287
2020,1,0.594
2020,2,0.385
2020,3,1.017
2020,4,1.906
2020,5,5.038
2020,6,9.119
2020,7,12.697
2020,8,13.426
2020,9,12.573
2020,10,10.035
2020,11,5.818
2020,12,3.285
2021,1,2.431
2021,2,1.503
2021,3,0.577
2021,4,0.903
2021,5,4.675
2021,6,8.25
2021,7,11.297
2021,8,12.887
2021,9,11.676
2021,10,8.762
2021,11,5.229
2021,12,1.338
2022,1,1.124
2022,2,0.705
2022,3,1.427
2022,4,3.557
2022,5,6.065
2022,6,9.877
2022,7,12.291
2022,8,12.624
2022,9,11.59
2022,10,9.238
2022,11,5.456
2022,12,2.6
2023,1,1.29
2023,2,1.089
2023,3,0.818
2023,4,2.234
2023,5,4.594
2023,6,7.608
2023,7,10.243
2023,8,12.074
2023,9,11.528
2023,10,8.788
2023,11,6.003
2023,12,3.417
2024,1,1.476
2024,2,1.091
2024,3,1.015
2024,4,2.835
2024,5,5.298
2024,6,8.495
2024,7,11.157
2024,8,12.211
2024,9,11.47
2024,10,9.04
2024,11,5.576
2024,12,3.454
2025,1,1.387
2025,2,1.054
2025,3,1.082
2025,4,1.701
2025,5,4.294
2025,6,8.407
2025,7,11.236
2025,8,12.204
2025,9,11.416
2025,10,8.994
2025,11,5.49
2025,12,2.268
2026,1,1.387
2026,2,1.054
2026,3,1.082
2026,4,1.701
2026,5,4.294
2026,6,8.407
2026,7,11.236
2026,8,12.204
2026,9,11.416
2026,10,8.994
2026,11,5.49
2026,12,2.268
2027,1,1.387
2027,2,1.054
2027,3,1.082
2027,4,1.701
2027,5,4.294
2027,6,8.407
2027,7,11.236
2027,8,12.204
2027,9,11.416
2027,10,8.994
2027,11,5.49
2027,12,2.268
2028,1,1.553
2028,2,0.981
2028,3,1.021
2028,4,1.896
2028,5,4.707
2028,6,8.586
2028,7,11.582
2028,8,12.998
2028,9,11.623
2028,10,9.212
2028,11,5.848
2028,12,2.951
2029,1,2.37
2029,2,1.323
2029,3,1.7
2029,4,2.491
2029,5,5.267
2029,6,9.077
2029,7,11.76
2029,8,12.541
2029,9,11.804
2029,10,9.254
2029,11,5.787
2029,12,2.461
2030,1,1.387
2030,2,1.054
2030,3,1.082
2030,4,1.701
2030,5,4.294
2030,6,8.407
2030,7,11.236
2030,8,12.204
2030,9,11.416
2030,10,8.994
2030,11,5.49
2030,12,2.268
2031,1,1.387
2031,2,1.054
2031,3,1.082
2031,4,1.701
2031,5,4.294
2031,6,8.407
2031,7,11.236
2031,8,12.204
2031,9,11.416
2031,10,8.994
2031,11,5.49
2031,12,2.268
2032,1,1.387
2032,2,1.054
2032,3,1.082
2032,4,1.701
2032,5,4.294
2032,6,8.407
2032,7,11.236
2032,8,12.204
2032,9,11.416
2032,10,8.994
2032,11,5.49
2032,12,2.268
2033,1,1.636
2033,2,0.944
2033,3,0.99
2033,4,1.994
2033,5,4.914
2033,6,8.675
2033,7,11.756
2033,8,13.394
2033,9,11.726
2033,10,9.321
2033,11,6.028
2033,12,3.292
2034,1,2.861
2034,2,1.458
2034,3,2.01
2034,4,2.886
2034,5,5.753
2034,6,9.412
2034,7,12.023
2034,8,12.71
2034,9,11.999
2034,10,9.384
2034,11,5.935
2034,12,2.557
2035,1,1.387
2035,2,1.054
2035,3,1.082
2035,4,1.701
2035,5,4.294
2035,6,8.407
2035,7,11.236
2035,8,12.204
2035,9,11.416
2035,10,8.994
2035,11,5.49
2035,12,2.268
2036,1,1.387
2036,2,1.054
2036,3,1.082
2036,4,1.701
2036,5,4.294
2036,6,8.407
2036,7,11.236
2036,8,12.204
2036,9,11.416
2036,10,8.994
2036,11,5.49
2036,12,2.268
2037,1,1.387
2037,2,1.054
2037,3,1.082
2037,4,1.701
2037,5,4.294
2037,6,8.407
2037,7,11.236
2037,8,12.204
2037,9,11.416
2037,10,8.994
2037,11,5.49
2037,12,2.268
2038,1,1.719
2038,2,0.908
2038,3,0.96
2038,4,2.091
2038,5,5.121
2038,6,8.765
2038,7,11.929
2038,8,13.791
2038,9,11.83
2038,10,9.43
2038,11,6.207
2038,12,3.634
2039,1,3.353
2039,2,1.592
2039,3,2.319
2039,4,3.281
2039,5,6.239
2039,6,9.747
2039,7,12.285
2039,8,12.878
2039,9,12.193
2039,10,9.515
2039,11,6.084
2039,12,2.653
2040,1,1.387
2040,2,1.054
2040,3,1.082
2040,4,1.701
2040,5,4.294
2040,6,8.407
2040,7,11.236
2040,8,12.204
2040,9,11.416
2040,10,8.994
2040,11,5.49
2040,12,2.268
2041,1,1.387
2041,2,1.054
2041,3,1.082
2041,4,1.701
2041,5,4.294
2041,6,8.407
2041,7,11.236
2041,8,12.204
2041,9,11.416
2041,10,8.994
2041,11,5.49
2041,12,2.268
2042,1,1.387
2042,2,1.054
2042,3,1.082
2042,4,1.701
2042,5,4.294
2042,6,8.407
2042,7,11.236
2042,8,12.204
2042,9,11.416
2042,10,8.994
2042,11,5.49
2042,12,2.268
2043,1,1.802
2043,2,0.871
2043,3,0.929
2043,4,2.189
2043,5,5.327
2043,6,8.854
2043,7,12.102
2043,8,14.188
2043,9,11.934
2043,10,9.539
2043,11,6.386
2043,12,3.976
2044,1,3.845
2044,2,1.726
2044,3,2.628
2044,4,3.676
2044,5,6.725
2044,6,10.082
2044,7,12.547
2044,8,13.046
2044,9,12.388
2044,10,9.645
2044,11,6.232
2044,12,2.75
2045,1,1.387
2045,2,1.054
2045,3,1.082
2045,4,1.701
2045,5,4.294
2045,6,8.407
2045,7,11.236
2045,8,12.204
2045,9,11.416
2045,10,8.994
2045,11,5.49
2045,12,2.268
2046,1,1.387
2046,2,1.054
2046,3,1.082
2046,4,1.701
2046,5,4.294
2046,6,8.407
2046,7,11.236
2046,8,12.204
2046,9,11.416
2046,10,8.994
2046,11,5.49
2046,12,2.268
2047,1,1.387
2047,2,1.054
2047,3,1.082
2047,4,1.701
2047,5,4.294
2047,6,8.407
2047,7,11.236
2047,8,12.204
2047,9,11.416
2047,10,8.994
2047,11,5.49
2047,12,2.268
2048,1,1.885
2048,2,0.834
2048,3,0.899
2048,4,2.287
2048,5,5.534
2048,6,8.943
2048,7,12.276
2048,8,14.584
2048,9,12.037
2048,10,9.648
2048,11,6.566
2048,12,4.317
2049,1,4.336
2049,2,1.861
2049,3,2.938
2049,4,4.071
2049,5,7.211
2049,6,10.417
2049,7,12.809
2049,8,13.215
2049,9,12.582
2049,10,9.775
2049,11,6.381
2049,12,2.846
2050,1,1.387
2050,2,1.054
2050,3,1.082
2050,4,1.701
2050,5,4.294
2050,6,8.407
2050,7,11.236
2050,8,12.204
2050,9,11.416
2050,10,8.994
2050,11,5.49
2050,12,2.268
